"cc","species","fsavg_sp","fs_sp","fsavg_all","fs_all"
"1","AESHIP",0.336667599528477,-0.684931734798954,0.248550801165829,-1.23872011201888
"0","AESHIP",0.262828390171418,-1.05951205918674,0.210177086392484,-1.42375254646563
"1","ALNGLU",0.356677328097904,-0.598869618979732,0.248550801165829,-1.23872011201888
"0","ALNGLU",0.266427324294203,-1.03342824755787,0.210177086392484,-1.42375254646563
"1","aaBETPEN",0.357168594163025,-0.597243650299954,0.248550801165829,-1.23872011201888
"0","aaBETPEN",0.267239151398468,-1.02818787775512,0.210177086392484,-1.42375254646563
"1","FAGSYL",0.229438572635537,-1.21560939027405,0.248550801165829,-1.23872011201888
"0","FAGSYL",0.228289473863246,-1.26674449326399,0.210177086392484,-1.42375254646563
"1","zFRAEXC",0.084151769442781,-2.40109587440277,0.248550801165829,-1.23872011201888
"0","zFRAEXC",0.099644376331394,-2.25443831073199,0.210177086392484,-1.42375254646563
"1","QUEROB",0.127200943127249,-1.93457040335782,0.248550801165829,-1.23872011201888
"0","QUEROB",0.136633802296175,-1.90020429029805,0.210177086392484,-1.42375254646563
