"x","predicted","conf.low","conf.high","group"
-1.5,0.0219274676353222,0.0210287373677313,0.0225194805628545,"-0.459208492649012"
-1.5,0.0286308094726529,0.0269011839507825,0.0303216194410207,"0.544414297170614"
-1,0.0271115673090367,0.0265578349806838,0.0278300816301438,"-0.459208492649012"
-1,0.0197279047901619,0.0189552316365743,0.020733667850312,"0.544414297170614"
-0.5,0.0334837838670037,0.0329886085181688,0.0339822423690673,"-0.459208492649012"
-0.5,0.0135461769380601,0.0131477958255141,0.0140669756884114,"0.544414297170614"
0,0.0413090420474836,0.0407490206130241,0.041803093735383,"-0.459208492649012"
0,0.00928390734610758,0.00897078560142541,0.00950349002071759,"0.544414297170614"
0.5,0.0508497214047018,0.0499582642258691,0.0517951333273233,"-0.459208492649012"
0.5,0.00635900554754668,0.00616580642022603,0.00659764331962631,"0.544414297170614"
1,0.0624256724477331,0.0608419770627895,0.0641725984256965,"-0.459208492649012"
1,0.00434807627171676,0.00415833592804169,0.0045624497231106,"0.544414297170614"
1.5,0.0764789713231304,0.0735848714497045,0.079149262114722,"-0.459208492649012"
1.5,0.00297068412566254,0.00275171655875477,0.00311874699626791,"0.544414297170614"
