"PEP_ID","year","lat","long","growth","frz","fs","total","events","freq"
1,1955,54.77,9.43,60,0,0,4,0,0
1,1956,54.77,9.43,28,0,0,4,0,0
1,1960,54.77,9.43,32,0,0,4,0,0
1,1962,54.77,9.43,50,0,0,4,0,0
3,1989,54.33,10.15,2,0,0,2,0,0
3,2000,54.33,10.15,2,0,0,2,0,0
13,1977,54.62,9.98,22,0,0,1,0,0
15,2010,54.48,9.7,8,0,0,1,0,0
21,2012,54.43,9.82,18,0,0,1,0,0
37,1987,54.02,10.57,78,0,0,1,0,0
42,1982,54.03,10.67,2,0,0,1,0,0
43,1975,54,10.67,54,0,0,1,0,0
46,1989,54.18,10.55,3,0,0,1,0,0
49,1973,53.9,10.65,3,0,0,1,0,0
52,1977,54.15,10.68,6,0,0,2,0,0
52,1980,54.15,10.68,15,0,0,2,0,0
57,1955,54.7,9.55,75,0,0,2,0,0
57,1964,54.7,9.55,69,0,0,2,0,0
59,1993,54.62,9.37,56,0,0,3,1,0.333333333333333
59,1996,54.62,9.37,64,0,0,3,1,0.333333333333333
59,1997,54.62,9.37,100,2,1,3,1,0.333333333333333
61,1983,54.75,9.9,1,0,0,1,0,0
66,2007,54.72,9.95,2,0,0,1,0,0
70,1983,54.73,9.5,30,0,0,2,0,0
70,1987,54.73,9.5,51,0,0,2,0,0
76,1953,54.78,9.53,3,0,0,1,0,0
81,1970,54.77,9.17,44,0,0,2,0,0
81,1990,54.77,9.17,1,0,0,2,0,0
84,1972,54.73,9.73,28,0,0,3,0,0
84,1975,54.73,9.73,18,0,0,3,0,0
84,1993,54.73,9.73,62,0,0,3,0,0
87,1957,54.78,9.23,2,0,0,1,0,0
96,1957,53.55,10.53,1,0,0,1,0,0
97,1956,53.8,10.75,3,0,0,1,0,0
100,1959,53.78,10.63,1,0,0,1,0,0
108,1956,53.65,10.82,27,0,0,1,0,0
110,1953,53.5,10.48,2,0,0,5,0,0
110,2002,53.5,10.48,4,0,0,5,0,0
110,2008,53.5,10.48,88,0,0,5,0,0
110,2012,53.5,10.48,70,0,0,5,0,0
110,2014,53.5,10.48,44,0,0,5,0,0
124,2007,54.67,9.13,12,0,0,3,0,0
124,2014,54.67,9.13,2,0,0,3,0,0
124,2015,54.67,9.13,18,0,0,3,0,0
130,1981,54.57,9.18,34,0,0,1,0,0
139,1966,54.25,9.08,2,0,0,2,0,0
139,1968,54.25,9.08,1,0,0,2,0,0
157,1982,54.18,10.75,50,0,0,1,0,0
158,1952,54.08,10.78,2,1,1,1,1,1
173,1961,53.73,9.88,112,0,0,11,1,0.0909090909090909
173,1982,53.73,9.88,2,0,0,11,1,0.0909090909090909
173,1984,53.73,9.88,1,0,0,11,1,0.0909090909090909
173,1987,53.73,9.88,44,0,0,11,1,0.0909090909090909
173,1989,53.73,9.88,132,0,0,11,1,0.0909090909090909
173,1990,53.73,9.88,63,5,1,11,1,0.0909090909090909
173,1991,53.73,9.88,1,0,0,11,1,0.0909090909090909
173,1992,53.73,9.88,1,0,0,11,1,0.0909090909090909
173,1993,53.73,9.88,1,0,0,11,1,0.0909090909090909
173,1994,53.73,9.88,1,0,0,11,1,0.0909090909090909
173,1995,53.73,9.88,1,0,0,11,1,0.0909090909090909
184,1999,54.32,10.5,2,0,0,1,0,0
189,1971,54.4,10.22,2,0,0,1,0,0
190,1963,54.28,10.47,4,0,0,1,0,0
192,1956,54.17,10.42,36,0,0,2,0,0
192,1957,54.17,10.42,1,0,0,2,0,0
193,1954,54.37,10.3,42,0,0,1,0,0
204,1955,54.35,9.85,3,0,0,1,0,0
215,1966,54.23,9.67,18,0,0,2,0,0
215,1974,54.23,9.67,46,0,0,2,0,0
218,2003,54.3,9.67,1,0,0,1,0,0
221,1994,54.27,9.98,62,0,0,1,0,0
230,1957,54.6,9.57,2,0,0,2,0,0
230,1983,54.6,9.57,34,0,0,2,0,0
231,1962,54.42,9.4,6,0,0,1,0,0
232,1983,54.62,9.83,69,0,0,2,0,0
232,1986,54.62,9.83,63,0,0,2,0,0
233,1985,54.32,9.32,26,0,0,1,0,0
238,2013,54.55,9.4,2,1,1,1,1,1
239,1978,54.67,9.93,26,2,1,1,1,1
240,1988,54.42,9.52,92,2,1,1,1,1
241,1957,54.55,9.52,12,0,0,2,0,0
241,1966,54.55,9.52,30,0,0,2,0,0
244,2013,54.52,9.57,2,0,0,1,0,0
247,1951,54.35,9.22,18,0,0,1,0,0
253,1965,53.77,9.92,36,0,0,1,0,0
259,1998,53.85,9.97,2,0,0,1,0,0
263,2011,53.82,10.15,30,0,0,2,0,0
263,2013,53.82,10.15,6,0,0,2,0,0
265,1998,54.02,10.17,2,0,0,1,0,0
269,1964,54.03,10.32,100,0,0,1,0,0
271,1964,53.78,9.98,42,0,0,4,0,0
271,1968,53.78,9.98,6,0,0,4,0,0
271,1969,53.78,9.98,18,0,0,4,0,0
271,1972,53.78,9.98,27,0,0,4,0,0
272,1968,53.95,10.22,36,0,0,2,0,0
272,1969,53.95,10.22,45,0,0,2,0,0
286,1986,54.02,9.8,3,0,0,2,0,0
286,1987,54.02,9.8,3,0,0,2,0,0
287,1981,53.92,9.37,3,2,1,1,1,1
289,1951,53.67,10.2,3,0,0,1,0,0
291,1963,53.73,10.27,3,0,0,2,0,0
291,1993,53.73,10.27,2,0,0,2,0,0
293,1991,53.7,10.05,28,0,0,1,0,0
299,1955,53.52,10.25,2,0,0,1,0,0
303,1999,53.87,10.33,4,0,0,2,1,0.5
303,2012,53.87,10.33,2,1,1,2,1,0.5
307,1952,54.15,9.28,2,0,0,2,0,0
307,1996,54.15,9.28,1,0,0,2,0,0
309,1978,54,9.27,15,0,0,1,0,0
321,1959,53.95,9.15,28,0,0,3,0,0
321,1962,53.95,9.15,2,0,0,3,0,0
321,1963,53.95,9.15,6,0,0,3,0,0
323,1962,54.82,9.15,96,0,0,3,0,0
323,1965,54.82,9.15,34,0,0,3,0,0
323,1982,54.82,9.15,1,0,0,3,0,0
326,1979,54.82,9.18,15,0,0,2,0,0
326,1981,54.82,9.18,30,0,0,2,0,0
330,1991,54.8,9.22,32,4,1,1,1,1
334,1958,53.65,10.18,6,0,0,2,0,0
334,1997,53.65,10.18,2,0,0,2,0,0
336,1952,53.58,9.77,9,0,0,2,0,0
336,2009,53.58,9.77,1,0,0,2,0,0
343,1959,53.6,10.02,3,0,0,1,0,0
346,2007,53.43,10.28,1,0,0,2,0,0
346,2013,53.43,10.28,1,0,0,2,0,0
349,2015,53.6,10.18,42,0,0,1,0,0
350,1958,52.1,9.37,3,0,0,2,0,0
350,1984,52.1,9.37,3,0,0,2,0,0
358,1980,52.63,8.38,1,0,0,2,0,0
358,1981,52.63,8.38,1,0,0,2,0,0
362,2008,52.6,8.83,54,4,1,1,1,1
363,1957,52.75,8.83,3,0,0,1,0,0
364,2005,52.6,8.48,2,0,0,1,0,0
368,1989,52.68,8.8,2,0,0,1,0,0
382,1961,52.87,8.5,6,0,0,1,0,0
383,1969,52.9,9.03,108,0,0,1,0,0
384,1952,52.92,8.82,18,0,0,2,0,0
384,2008,52.92,8.82,2,0,0,2,0,0
385,1954,52.87,8.9,68,0,0,2,0,0
385,1968,52.87,8.9,3,0,0,2,0,0
388,1981,52.17,9.25,6,0,0,1,0,0
391,1974,52.28,9.15,2,0,0,1,0,0
395,2007,52.2,9.2,30,0,0,3,0,0
395,2008,52.2,9.2,2,0,0,3,0,0
395,2010,52.2,9.2,2,0,0,3,0,0
399,1961,52.13,9.58,12,0,0,1,0,0
401,1960,52.13,9.25,3,0,0,2,0,0
401,2012,52.13,9.25,2,0,0,2,0,0
405,1973,51.98,9.25,2,0,0,1,0,0
406,1953,52.07,9.58,1,0,0,1,0,0
411,1981,52.3,9.73,2,0,0,13,2,0.153846153846154
411,1982,52.3,9.73,2,0,0,13,2,0.153846153846154
411,1984,52.3,9.73,2,0,0,13,2,0.153846153846154
411,1985,52.3,9.73,2,1,1,13,2,0.153846153846154
411,1986,52.3,9.73,2,0,0,13,2,0.153846153846154
411,1988,52.3,9.73,22,0,0,13,2,0.153846153846154
411,1989,52.3,9.73,2,0,0,13,2,0.153846153846154
411,1993,52.3,9.73,6,4,1,13,2,0.153846153846154
411,1994,52.3,9.73,2,0,0,13,2,0.153846153846154
411,1995,52.3,9.73,2,0,0,13,2,0.153846153846154
411,2004,52.3,9.73,2,0,0,13,2,0.153846153846154
411,2014,52.3,9.73,2,0,0,13,2,0.153846153846154
411,2015,52.3,9.73,2,0,0,13,2,0.153846153846154
416,1966,52.32,9.8,12,0,0,1,0,0
417,1952,52.3,9.8,27,0,0,2,0,0
417,1978,52.3,9.8,3,0,0,2,0,0
426,2009,52.38,9.35,1,0,0,1,0,0
427,1951,52.4,9.45,96,0,0,1,0,0
431,1960,52.52,9.52,117,0,0,1,0,0
442,1977,52.42,8.75,60,0,0,1,0,0
447,1977,52.5,8.98,2,0,0,6,0,0
447,1981,52.5,8.98,2,0,0,6,0,0
447,1983,52.5,8.98,2,0,0,6,0,0
447,1987,52.5,8.98,2,0,0,6,0,0
447,1989,52.5,8.98,1,0,0,6,0,0
447,2004,52.5,8.98,6,0,0,6,0,0
451,1964,52.72,9,3,0,0,1,0,0
