"x","predicted","conf.low","conf.high","group"
-1.5,0.00819146147868368,0.00691133388614068,0.00961541189582116,"AESHIP"
-1.5,0.0122208137377325,0.00995829324416085,0.0148554948320755,"ALNGLU"
-1.5,0.00743879226562626,0.00635059353324543,0.00878251191718758,"BETPEN"
-1.5,0.00158578844719248,0.00111157137529506,0.00225053845396529,"FAGSYL"
-1.5,0.00171044157411057,0.000947021867116502,0.00292423384704537,"FRAEXC"
-1.5,0.00138552551649447,0.000855868682604053,0.00220788614656665,"QUEROB"
-1,0.0108172714074437,0.00958877520261268,0.0121491521672814,"AESHIP"
-1,0.0147116192881985,0.0127527689902371,0.016874204510022,"ALNGLU"
-1,0.0104741360274025,0.00934182234793996,0.011798288971707,"BETPEN"
-1,0.00226355471785944,0.00175334549352102,0.00291161032407843,"FAGSYL"
-1,0.00180993863522567,0.00118468984939683,0.00265873199603811,"FRAEXC"
-1,0.00164420444115914,0.00116917722282914,0.00229072216299691,"QUEROB"
-0.5,0.0142801793116359,0.0132500651049068,0.0153672355350996,"AESHIP"
-0.5,0.0176938419690136,0.0161839705208126,0.019332626116785,"ALNGLU"
-0.5,0.0147417331797004,0.0137052013088418,0.015895475830151,"BETPEN"
-0.5,0.00323171111341376,0.0027251236334015,0.00380476984855361,"FAGSYL"
-0.5,0.00191297123128288,0.00145505373073684,0.00243948400806852,"FRAEXC"
-0.5,0.00195287246676941,0.00156296418063039,0.0024021165879354,"QUEROB"
0,0.0188255413421509,0.017998398522808,0.019696501144894,"AESHIP"
0,0.0212658971708716,0.0200699968865886,0.0225405266536175,"ALNGLU"
0,0.0206921726655126,0.0197722882326467,0.0216722917627574,"BETPEN"
0,0.00460925771282374,0.00411654815159975,0.00514838987291894,"FAGSYL"
0,0.00202198451572944,0.00166278015043041,0.00242691834439873,"FRAEXC"
0,0.00231772996553389,0.00199405321494258,0.00268358300088577,"QUEROB"
0.5,0.0247732982732101,0.0232662366939374,0.0264046408737976,"AESHIP"
0.5,0.0255489854268432,0.0235006542575188,0.0276416373991111,"ALNGLU"
0.5,0.0289727696418408,0.0273346242286935,0.0306852392830758,"BETPEN"
0.5,0.00656636265898144,0.00570978777663952,0.00748936815158838,"FAGSYL"
0.5,0.00213840178863725,0.00163959772891986,0.00274524470847058,"FRAEXC"
0.5,0.00275344711926506,0.00224788936515619,0.00333831855590935,"QUEROB"
1,0.032542804570985,0.0293870573080149,0.0360357950800592,"AESHIP"
1,0.0306454463990219,0.0268477072940211,0.0348729895358425,"ALNGLU"
1,0.0404056854037872,0.0366951790783034,0.0443597636191704,"BETPEN"
1,0.00935417909172562,0.00750576001353187,0.0115908317593596,"FAGSYL"
1,0.00225964551176372,0.00149744281193558,0.00338116161006637,"FRAEXC"
1,0.00327473955853508,0.00235101008046701,0.00446113189945178,"QUEROB"
1.5,0.0426634474753604,0.0367556061771846,0.0494428318470078,"AESHIP"
1.5,0.0366984610816791,0.0304292447427137,0.0441292083009371,"ALNGLU"
1.5,0.0561558778276409,0.0488414757471976,0.0642954276285106,"BETPEN"
1.5,0.0133039717334522,0.00973335159681723,0.0180157687825331,"FAGSYL"
1.5,0.00239055819167352,0.00132975306013998,0.00424143303943365,"FRAEXC"
1.5,0.00388618558955881,0.00242747249168981,0.00610142839728888,"QUEROB"
