"PEP_ID","lat","long","date","year","month","day","Tmin","frz","count"
7153,60.05,23.03,1997-05-12,1997,5,12,5.26999988220632,0,0
7153,60.05,23.03,1997-05-13,1997,5,13,5.85999986901879,0,0
7153,60.05,23.03,1997-05-14,1997,5,14,7.15999983996153,0,0
7153,60.05,23.03,1997-05-15,1997,5,15,3.85999991372228,0,0
7153,60.05,23.03,1997-05-16,1997,5,16,7.9799998216331,0,0
7153,60.05,23.03,1997-05-17,1997,5,17,6.45999985560775,0,0
7153,60.05,23.03,2003-05-11,2003,5,11,1.76999996043742,0,0
7153,60.05,23.03,2011-05-06,2011,5,6,2.45999994501472,0,0
7153,60.05,23.03,2012-05-08,2012,5,8,1.03999997675419,0,0
7153,60.05,23.03,2012-05-09,2012,5,9,-0.92999997921288,0,0
7153,60.05,23.03,2012-05-10,2012,5,10,1.55999996513128,0,0
7153,60.05,23.03,2012-05-11,2012,5,11,8.31999981403351,0,0
7153,60.05,23.03,2012-05-12,2012,5,12,8.72999980486929,0,0
7153,60.05,23.03,2012-05-13,2012,5,13,6.18999986164272,0,0
7153,60.05,23.03,2012-05-14,2012,5,14,4.8799998909235,0,0
7153,60.05,23.03,2012-05-15,2012,5,15,2.33999994769692,0,0
7153,60.05,23.03,2012-05-16,2012,5,16,4.78999989293516,0,0
7153,60.05,23.03,2012-05-17,2012,5,17,4.74999989382923,0,0
7153,60.05,23.03,2012-05-18,2012,5,18,8.6699998062104,0,0
7153,60.05,23.03,2012-05-19,2012,5,19,6.30999985896051,0,0
7153,60.05,23.03,2012-05-20,2012,5,20,5.07999988645315,0,0
7153,60.05,23.03,2012-05-21,2012,5,21,4.86999989114702,0,0
7153,60.05,23.03,2012-05-22,2012,5,22,7.78999982587993,0,0
7153,60.05,23.03,2012-05-23,2012,5,23,11.3599997460842,0,0
7153,60.05,23.03,2012-05-24,2012,5,24,7.79999982565641,0,0
7153,60.05,23.03,2012-05-25,2012,5,25,5.11999988555908,0,0
7153,60.05,23.03,2012-05-26,2012,5,26,6.00999986566603,0,0
7153,60.05,23.03,2012-05-27,2012,5,27,10.9799997545779,0,0
7153,60.05,23.03,2012-05-28,2012,5,28,9.17999979481101,0,0
7153,60.05,23.03,2012-05-29,2012,5,29,7.96999982185662,0,0
7154,60.35,24.98,2011-04-27,2011,4,27,4.84999989159405,0,0
7154,60.35,24.98,2011-04-28,2011,4,28,8.21999981626868,0,0
7154,60.35,24.98,2011-04-29,2011,4,29,3.51999992132187,0,0
7154,60.35,24.98,2011-04-30,2011,4,30,1.18999997340143,0,0
7154,60.35,24.98,2011-05-01,2011,5,1,4.34999990276992,0,0
7154,60.35,24.98,2011-05-02,2011,5,2,0.0399999991059303,0,0
7154,60.35,24.98,2011-05-03,2011,5,3,0.559999987483025,0,0
7154,60.35,24.98,2011-05-04,2011,5,4,1.17999997362494,0,0
7154,60.35,24.98,2011-05-05,2011,5,5,-0.65999998524785,0,0
7154,60.35,24.98,2011-05-06,2011,5,6,4.53999989852309,0,0
7154,60.35,24.98,2011-05-07,2011,5,7,1.43999996781349,0,0
7154,60.35,24.98,2011-05-08,2011,5,8,1.12999997474253,0,0
7154,60.35,24.98,2011-05-09,2011,5,9,4.77999989315867,0,0
7154,60.35,24.98,2011-05-10,2011,5,10,4.82999989204109,0,0
7154,60.35,24.98,2011-05-11,2011,5,11,6.73999984934926,0,0
7154,60.35,24.98,2011-05-12,2011,5,12,9.23999979346991,0,0
7154,60.35,24.98,2011-05-13,2011,5,13,7.35999983549118,0,0
7154,60.35,24.98,2011-05-14,2011,5,14,8.56999980844557,0,0
7154,60.35,24.98,2011-05-15,2011,5,15,6.69999985024333,0,0
7154,60.35,24.98,2011-05-16,2011,5,16,7.66999982856214,0,0
7154,60.35,24.98,2011-05-17,2011,5,17,7.71999982744455,0,0
7154,60.35,24.98,2011-05-18,2011,5,18,6.66999985091388,0,0
7154,60.35,24.98,2011-05-19,2011,5,19,6.97999984398484,0,0
7154,60.35,24.98,2011-05-20,2011,5,20,6.00999986566603,0,0
7154,60.35,24.98,2011-05-21,2011,5,21,5.13999988511205,0,0
7154,60.35,24.98,2011-05-22,2011,5,22,3.9599999114871,0,0
7154,60.35,24.98,2011-05-23,2011,5,23,5.76999987103045,0,0
7154,60.35,24.98,2011-05-24,2011,5,24,7.53999983146787,0,0
7154,60.35,24.98,2014-04-27,2014,4,27,1.3799999691546,0,0
7154,60.35,24.98,2014-04-28,2014,4,28,3.34999992512167,0,0
7154,60.35,24.98,2014-04-29,2014,4,29,2.48999994434416,0,0
7154,60.35,24.98,2014-04-30,2014,4,30,5.31999988108873,0,0
7154,60.35,24.98,2014-05-01,2014,5,1,-0.159999996423721,0,0
7154,60.35,24.98,2014-05-02,2014,5,2,1.58999996446073,0,0
7154,60.35,24.98,2014-05-03,2014,5,3,-1.59999996423721,0,0
7154,60.35,24.98,2014-05-04,2014,5,4,-2.07999995350838,0,0
7154,60.35,24.98,2014-05-05,2014,5,5,0.199999995529652,0,0
7154,60.35,24.98,2014-05-06,2014,5,6,0.439999990165234,0,0
7154,60.35,24.98,2014-05-07,2014,5,7,-2.45999994501472,1,0
7154,60.35,24.98,2014-05-08,2014,5,8,-2.53999994322658,1,1
7154,60.35,24.98,2014-05-09,2014,5,9,3.22999992780387,0,2
7154,60.35,24.98,2014-05-10,2014,5,10,5.22999988310039,0,2
7154,60.35,24.98,2014-05-11,2014,5,11,5.38999987952411,0,2
7154,60.35,24.98,2014-05-12,2014,5,12,8.00999982096255,0,2
7154,60.35,24.98,2014-05-13,2014,5,13,7.70999982766807,0,2
7154,60.35,24.98,2014-05-14,2014,5,14,7.43999983370304,0,2
7154,60.35,24.98,2014-05-15,2014,5,15,6.89999984577298,0,2
7154,60.35,24.98,2014-05-16,2014,5,16,4.10999990813434,0,2
7154,60.35,24.98,2014-05-17,2014,5,17,2.51999994367361,0,2
7154,60.35,24.98,2014-05-18,2014,5,18,1.99999995529652,0,2
7154,60.35,24.98,2014-05-19,2014,5,19,5.23999988287687,0,2
7154,60.35,24.98,2014-05-20,2014,5,20,13.1399997062981,0,2
7154,60.35,24.98,2014-05-21,2014,5,21,13.3199997022748,0,2
7154,60.35,24.98,2014-05-22,2014,5,22,13.1399997062981,0,2
7154,60.35,24.98,2014-05-23,2014,5,23,9.44999978877604,0,2
7154,60.35,24.98,2014-05-24,2014,5,24,10.5599997639656,0,2
7154,60.35,24.98,2014-05-25,2014,5,25,15.1399996615946,0,2
7154,60.35,24.98,2014-05-26,2014,5,26,16.3999996334314,0,2
7154,60.35,24.98,2014-05-27,2014,5,27,12.7799997143447,0,2
7154,60.35,24.98,2014-05-28,2014,5,28,5.19999988377094,0,2
7154,60.35,24.98,2014-05-29,2014,5,29,4.82999989204109,0,2
7154,60.35,24.98,2014-05-30,2014,5,30,6.49999985471368,0,2
7154,60.35,24.98,2014-05-31,2014,5,31,9.86999977938831,0,2
7154,60.35,24.98,2014-06-01,2014,6,1,9.3599997907877,0,2
7154,60.35,24.98,2014-06-02,2014,6,2,8.33999981358647,0,2
7154,60.35,24.98,2014-06-03,2014,6,3,10.1199997738004,0,2
7154,60.35,24.98,2014-06-04,2014,6,4,13.6199996955693,0,2
