"x","predicted","conf.low","conf.high","group"
-0.612,0.0353385718051131,0.0335702721734742,0.0371679395465845,"AESHIP"
-0.612,0.0484742306089052,0.0456922019366903,0.0516532834111139,"ALNGLU"
-0.612,0.0396876948506731,0.0378681907085569,0.0416161292557092,"BETPEN"
-0.612,0.247678682798389,0.24168936858372,0.253501848031123,"FAGSYL"
-0.612,0.11302565985809,0.107907005943191,0.118592312443751,"FRAEXC"
-0.612,0.144526156213102,0.139895756563501,0.149113245304099,"QUEROB"
-0.61,0.0353823172974688,0.0336165578184472,0.0372104609605228,"AESHIP"
-0.61,0.0485208627477168,0.0457462244381514,0.0516954291196211,"ALNGLU"
-0.61,0.0397338351440591,0.0379151495570447,0.0416597333429942,"BETPEN"
-0.61,0.247771416042806,0.241797518571767,0.253584742240898,"FAGSYL"
-0.61,0.113013286378735,0.107907317804105,0.118567375297952,"FRAEXC"
-0.61,0.144569096147304,0.139944926521088,0.14914418269269,"QUEROB"
-0.608,0.0354251599235704,0.033660745984355,0.0372530291384261,"AESHIP"
-0.608,0.0485684024384572,0.0458003077469378,0.051736900817343,"ALNGLU"
-0.608,0.0397797209040263,0.0379621643400151,0.0417065414820545,"BETPEN"
-0.608,0.24786537670946,0.241905738600254,0.253667654346315,"FAGSYL"
-0.608,0.112999593414518,0.107911362684933,0.118542403890109,"FRAEXC"
-0.608,0.144612729665002,0.139994110950865,0.149175125337929,"QUEROB"
-0.605,0.0354909739720849,0.0337297966948781,0.0373169691908038,"AESHIP"
-0.605,0.0486400313797019,0.0458769658972642,0.0518043022546567,"ALNGLU"
-0.605,0.03985089606341,0.0380331516645737,0.0417724948371697,"BETPEN"
-0.605,0.248005830728644,0.242068189498149,0.253787913802628,"FAGSYL"
-0.605,0.112979168712633,0.107917513593988,0.118504875957787,"FRAEXC"
-0.605,0.144674528558248,0.140076646190148,0.149221521402247,"QUEROB"
-0.603,0.035535116139032,0.0337761877154711,0.037359654484858,"AESHIP"
-0.603,0.0486876993771567,0.0459264824327982,0.051848924497434,"ALNGLU"
-0.603,0.0398980540466996,0.0380817532021796,0.0418171615382157,"BETPEN"
