"cc","species","fsavg_sp","fs_sp","fsavg_all","fs_all"
"1","AESHIP",0.359917029821294,-0.584111986493037,0.267453367851925,-1.13222876076345
"0","AESHIP",0.294180462784638,-0.898261832468601,0.236792734462693,-1.25683071679797
"1","ALNGLU",0.373572299811208,-0.521743705856318,0.267453367851925,-1.13222876076345
"0","ALNGLU",0.293385962919992,-0.89587185602224,0.236792734462693,-1.25683071679797
"1","aaBETPEN",0.380642035210752,-0.494503275890297,0.267453367851925,-1.13222876076345
"0","aaBETPEN",0.301217151493226,-0.865017024933242,0.236792734462693,-1.25683071679797
"1","FAGSYL",0.2501530431723,-1.11255438079516,0.267453367851925,-1.13222876076345
"0","FAGSYL",0.254271948993485,-1.10325900537288,0.236792734462693,-1.25683071679797
"1","zFRAEXC",0.104871344787881,-2.21690039723415,0.267453367851925,-1.13222876076345
"0","zFRAEXC",0.128938605824191,-2.00981235515114,0.236792734462693,-1.25683071679797
"1","QUEROB",0.135564454308114,-1.86355881831171,0.267453367851925,-1.13222876076345
"0","QUEROB",0.148762274760627,-1.76876222683972,0.236792734462693,-1.25683071679797
