"x","predicted","conf.low","conf.high","group"
-0.46,0.0421423506277009,0.0405090877230291,0.0438499671586869,"AESHIP"
-0.46,0.0517859619850873,0.0493024329209141,0.0544218795583263,"ALNGLU"
-0.46,0.0460856832531967,0.044450754746335,0.0478422712672792,"BETPEN"
-0.46,0.293039314371879,0.288531140924243,0.297674182546197,"FAGSYL"
-0.46,0.121909238086768,0.118035859291095,0.125946969795226,"FRAEXC"
-0.46,0.169345426016987,0.165796716155293,0.172810008990581,"QUEROB"
0.54,0.064761042670766,0.0625345670275749,0.0671352925662445,"AESHIP"
0.54,0.0858064984379636,0.082668130766705,0.0890700138973997,"ALNGLU"
0.54,0.0717986445878055,0.0693769974299776,0.0743475218303647,"BETPEN"
0.54,0.260187456584839,0.255439051560221,0.264992620258455,"FAGSYL"
0.54,0.0959734953144893,0.0926898586540496,0.0993629941520695,"FRAEXC"
0.54,0.146073005885422,0.14251225462053,0.149767326288441,"QUEROB"
