"cc","species","fsavg_sp","fs_sp","fsavg_all","fs_all"
"1","AESHIP",0.395453673855486,-0.45246319850978,0.286418722645424,-1.0844161866354
"0","AESHIP",0.431519196470754,-0.399259382782126,0.349979532941102,-0.841664480966711
"1","ALNGLU",0.377663219083292,-0.505540262774265,0.286418722645424,-1.0844161866354
"0","ALNGLU",0.401660304265957,-0.512314751236968,0.349979532941102,-0.841664480966711
"1","aaBETPEN",0.420134122555631,-0.34721662831756,0.286418722645424,-1.0844161866354
"0","aaBETPEN",0.440870037424985,-0.350376715657287,0.349979532941102,-0.841664480966711
"1","FAGSYL",0.301512954457131,-0.921635905885759,0.286418722645424,-1.0844161866354
"0","FAGSYL",0.411432277555222,-0.544986868760262,0.349979532941102,-0.841664480966711
"1","zFRAEXC",0.0780931252888607,-2.47845727340493,0.286418722645424,-1.0844161866354
"0","zFRAEXC",0.151339767685297,-1.90401556961871,0.349979532941102,-0.841664480966711
"1","QUEROB",0.145655240632145,-1.80118385092012,0.286418722645424,-1.0844161866354
"0","QUEROB",0.263055614244396,-1.33903359774491,0.349979532941102,-0.841664480966711
