"x","predicted","conf.low","conf.high","group"
-1,0.0557188011056911,0.0524918449280465,0.0588484337196943,"-0.459201306681485"
-1,0.0200021318661041,0.0179129339988532,0.0219960200568753,"0.544422816636883"
0,0.0869835416257351,0.0847762340662879,0.0891962134792707,"-0.459201306681485"
0,0.0223379170213581,0.0211050115584409,0.0235762293819263,"0.544422816636883"
1,0.133483723983542,0.126083520683448,0.140812982080752,"-0.459201306681485"
1,0.024926596420196,0.0226349866146853,0.0275642760920442,"0.544422816636883"
2,0.199420189818885,0.18003272858031,0.217076066328945,"-0.459201306681485"
2,0.0277855807902391,0.0232917949346899,0.0329791104716115,"0.544422816636883"
3,0.287132449469054,0.250962718809448,0.320702879780227,"-0.459201306681485"
3,0.0310198429462623,0.0239040839520347,0.0396377241860128,"0.544422816636883"
4,0.394341899780287,0.337251320115067,0.445000590427818,"-0.459201306681485"
4,0.0345411079775548,0.0243228627983859,0.0475082844706026,"0.544422816636883"
