"x","predicted","conf.low","conf.high","group"
-0.46,0.0393686155400292,0.037780786936676,0.0409931446725164,"AESHIP"
-0.46,0.0490041225916446,0.0465014770521151,0.0514730591289144,"ALNGLU"
-0.46,0.0429024576940343,0.0411266022420572,0.0446129337300341,"BETPEN"
-0.46,0.0234169751689139,0.0220421491113973,0.0248367490407263,"FAGSYL"
-0.46,0.00879761992012664,0.00779482736805525,0.00996936358389771,"FRAEXC"
-0.46,0.0110524536853349,0.010167876199076,0.0120137827498029,"QUEROB"
0.54,0.0653249744477408,0.0630106325546848,0.067687486608907,"AESHIP"
0.54,0.0852312475237974,0.0819571861196871,0.0883709905310576,"ALNGLU"
0.54,0.0727988698935871,0.0703341075720782,0.0753839867158654,"BETPEN"
0.54,0.0292597632891964,0.027505597215492,0.0310316436365735,"FAGSYL"
0.54,0.00899674453949171,0.00796699837651197,0.0101667308974384,"FRAEXC"
0.54,0.0131005084879172,0.0119601062384679,0.0142740301462082,"QUEROB"
