"x","predicted","conf.low","conf.high","group"
-5,0.0197415181731793,0.0187201407555057,0.0208342410348943,"AESHIP"
-5,0.00369152185092847,0.0010759079579474,0.00399969173044732,"ALNGLU"
-5,0.0118562730698707,0.0110819701311656,0.0124074109752442,"BETPEN"
-5,0.00063116841019033,0.00054148996650446,0.000697105541305622,"FAGSYL"
-5,2.89614588251635e-06,4.11551849158392e-07,3.07292271062461e-06,"FRAEXC"
-5,0.000336013105210132,0.000261989179944889,0.000369336719868501,"QUEROB"
0,0.0209873508773345,0.0206198678090283,0.021258129836136,"AESHIP"
0,0.000339692238935986,0.000298884510590883,0.000376059832331079,"ALNGLU"
0,0.0130651854742934,0.0128394371974128,0.0133218591569069,"BETPEN"
0,0.000438804343127183,0.000400067674617986,0.000462781578344099,"FAGSYL"
0,3.74213425914479e-05,2.29635561872532e-05,4.37023791120699e-05,"FRAEXC"
0,0.000237691911238017,0.000211473084338447,0.000256901108009218,"QUEROB"
5,0.022266730900335,0.021024224409235,0.0233989153037813,"AESHIP"
5,3.15148800740083e-05,8.0792286851748e-06,3.39681978167423e-05,"ALNGLU"
5,0.0144101370192446,0.0135796652356102,0.0151990218676243,"BETPEN"
5,0.000303857337648407,0.000248991079331294,0.000329521073428055,"FAGSYL"
5,0.000458344534210315,4.5477548035062e-05,0.000472096921332592,"FRAEXC"
5,0.000166337247779011,0.000136510323072718,0.000188936430658874,"QUEROB"
10,0.0236635947097458,0.0208010696881513,0.0255860908629653,"AESHIP"
10,2.98259905020393e-06,3.60817996730326e-08,2.99726812276442e-06,"ALNGLU"
10,0.0158868451694398,0.0137597647790121,0.0171550543332676,"BETPEN"
10,0.000210193026939846,0.000148212155478057,0.000241898185724532,"FAGSYL"
10,0.00578273315449058,7.14843316071092e-06,0.00578882144404321,"FRAEXC"
10,0.000117623083673466,7.55606892694672e-05,0.000137523057005482,"QUEROB"
15,0.0250706438685304,0.0208071867631169,0.028266914507188,"AESHIP"
15,2.76763123584413e-07,7.36209488070671e-11,2.76855094064152e-07,"ALNGLU"
15,0.017499120633335,0.0142154978955312,0.0197276009817493,"BETPEN"
15,0.000146019497177898,8.0205040161134e-05,0.000169513556547424,"FAGSYL"
15,0.0682902030715287,3.45053613963586e-06,0.0683627305411674,"FRAEXC"
15,8.256002599387e-05,3.22464070747482e-05,9.09296314897647e-05,"QUEROB"
