"x","predicted","conf.low","conf.high","group"
-0.46,0.174994972716505,0.17154813412404,0.178348304958092,"AESHIP"
-0.46,0.184433896747552,0.179729521179315,0.188963539358457,"ALNGLU"
-0.46,0.185778241454047,0.182474499918646,0.189096885148139,"BETPEN"
-0.46,0.0920307702987373,0.0893858718596123,0.0948293712299922,"FAGSYL"
-0.46,0.0334707536588882,0.0313929606468129,0.0356696033707055,"FRAEXC"
-0.46,0.046468611596332,0.0445015316415654,0.0485461449224427,"QUEROB"
0.54,0.173551303557321,0.169924075153451,0.177476737689977,"AESHIP"
0.54,0.178975653878645,0.174610809558807,0.183610467422326,"ALNGLU"
0.54,0.182448087463121,0.178720400174486,0.186146384281782,"BETPEN"
0.54,0.0605695504693418,0.0580411872134233,0.0631000074720664,"FAGSYL"
0.54,0.0225071091181173,0.0208060023822996,0.024163804328842,"FRAEXC"
0.54,0.033170583046676,0.0314161971660104,0.0350007245872776,"QUEROB"
