"lat","long","distance"
47.8833,16.25,308265.364041453
48.25,16.0667,331945.621436751
48.7833,15.4,360318.502625127
47.7192,13.4828,214255.777747019
47.8833,16.45,318307.729100546
46.9333,16.0167,213476.272456971
47.7333,16.4,303713.079207306
48.1,13.8167,257326.661964549
48.35,13.65,284429.972369185
46.85,15.7333,194414.01120188
47.7,15.8667,274126.220864938
47.3667,16.1167,258772.092860507
47.1333,16.2667,242508.017440135
48.2264,16.4569,347333.007502006
48.2333,15.15,296900.164950805
48.2508,16.3028,342357.060158054
48.4667,15.7,338209.895566561
48.1167,15.8167,309246.361525543
48.5667,15.7167,348599.612340676
47.2667,11.3833,207092.982594763
48.1789,16.2817,335073.144804882
48.1364,16.2831,331427.589802712
48.7,13.95,324656.323071479
48.4167,15.6167,330398.446403924
47.7333,16.2167,294192.167522087
47.45,16.2167,270528.499987985
47.2333,16.3167,253858.040147227
47.0167,16.4,237970.514699981
47.1,15.7,216806.167602341
48.75,15.95,374695.242354395
47.2167,15.6333,222240.916429412
48.1833,15.0667,289301.7593697
48.3,15.8333,327100.546815554
48.2,15.7667,315042.092883077
48.7167,16.1833,380119.33770061
48.0167,13.25,248332.88377687
48.35,14.4167,291742.345396385
48.2,13.2167,268858.169808509
47.6,13.1667,202488.291318781
48.1664,16.3125,335399.929234179
48.25,13.0333,275075.502378669
48.25,15.3333,304363.356618146
48.4,14.8333,305529.201213046
48.25,15.2,300136.765127548
48.1,15.7667,305654.588620393
48.7667,16.55,399510.224171191
48.6333,16.8333,400037.381920486
48.4167,16.55,368165.020783914
47.4167,16.4333,275756.349890936
47.8333,14.15,231399.320989
48.1333,13.85,261225.847529491
48.2097,16.2214,335060.221312269
48.65,15.6,352996.200609045
46.9167,15.3333,182535.730302171
47.95,16.85,342591.023456791
46.8667,15.9,202455.820197804
48.7167,16.5833,396365.238529526
48.1,14.9833,278335.390662246
47.7333,16.2,293342.590967004
47.1667,16.0167,235662.912340967
47.5333,16.4833,288726.47124268
48.4333,13.65,293689.491088616
48.1667,14.1333,267635.654199293
47.2167,16.0833,242994.2818785
47.15,11.85,181577.322401459
47.2167,14.8333,185244.678399523
48.1333,16.2,327340.066606828
47.9833,15,266971.683858363
48.2167,15.15,295219.908331087
48.5667,16.3667,373539.378236766
48.7167,15.8667,368516.706515229
48.4667,16.15,355351.315220001
46.9833,15.9167,214206.172934559
47.5167,16.2,276099.684392239
47.25,16.15,248739.451461929
47.05,16.4167,241673.835856212
48.1333,13.0833,261943.552217498
48,12.95,247755.698836461
48.7311,13.8325,327401.681366311
47.6833,15.9333,275914.617663827
48.2,16.1833,332498.684917664
48.0167,16.3,321934.98156884
48.05,16.1333,316975.763458075
47.9,16.55,324812.474242256
48.1167,13.8,259081.696636321
48.5167,14.5,311196.430037151
48.05,14.4167,259344.597569717
48.15,15.15,288488.953280937
48.2333,14.85,288456.252974492
48.1333,13,262263.490908035
48.3167,14.4667,289002.377038534
47.9,13,236381.580491905
47.5667,12.15,212849.157451442
48.5167,15.7833,346044.149315791
47.8,14.9167,245858.961795844
48.1333,14.8833,278936.346097032
48.3,15.4667,313754.21578031
48.3167,15.5833,319427.202280116
48.6,15.55,346388.330370892
47.7,12.1667,226355.869988173
47.35,11.7167,205754.119381963
48.2,14.3833,274935.226884496
48.2319,16.2928,340237.189215088
47.7,16,280592.139054828
48.4167,15.5667,328683.414359574
48.0833,14.9333,275176.026766271
47.6167,16.3833,292834.833074149
48.05,13.15,252537.27285577
48.0667,14.05,255664.996236417
48.2,15.35,299920.788108048
47.7833,13.05,223191.959487245
47.3667,15.6833,237021.104192335
47.8,15.7,275304.027261669
48.0167,15.5833,290524.392394966
