"lat","long","distance"
48.5167,15.4833,335907.983314738
47.8,15.9833,288267.354485698
48.6667,15.6667,356823.593670563
48.9333,15.2333,371274.181152422
48.25,16.0167,329839.349602887
48.4333,16.4167,363645.102305577
47.95,14.9,260558.519549248
48.55,16.7667,389735.000021495
47.0667,15.6167,209649.679350939
48,15.1667,273939.141671815
46.9833,16.15,223735.075595166
47.4333,16.2833,271411.499158321
48.5167,14.3,308131.646011943
47.9167,13.8,236911.452966141
48.5167,13.5,302892.968642805
48.1833,12.9667,267978.960806779
48.05,14.3167,257566.709876865
48.3667,13.6833,286363.620753229
47.6428,13.2039,207214.413499963
47.1333,10.5667,226369.093711035
48.2,15.6167,309310.251195893
48.1667,15.9833,320802.173921437
48.5,16.2333,361852.787263174
47.7833,15.9167,283677.0242216
47.8167,16.25,302723.716140168
47.2167,9.65,280583.039865321
47.3833,11.75,207600.467577259
47.1333,13.8667,151008.070281253
47.1667,14.65,173677.918852339
48,16.05,308775.912140338
48.1667,15.4833,301225.482033842
48.2,13.1,269310.190069747
48.0833,12.9333,257089.963975022
48.3167,14.2833,286055.868499184
48.0167,13.1833,248797.433639862
47.8,13.4833,223236.02356903
48.7167,16.1333,378209.7755454
48.5333,15.9333,353143.693149483
47.7333,16.3333,300207.961335639
48.5667,14.0333,310582.810579793
48.2,12.8833,270349.837785064
47.85,14.6667,243740.366692235
48.4,16.3,355556.13061349
48.6167,13.9,315096.786967343
48,13.3667,245815.914063882
48,13.6167,245463.98919715
48.1667,12.85,266916.241798776
48.8667,15.1333,361809.438201475
46.8167,12.7833,118981.073860199
46.8167,12.8,118707.750858667
48.95,15.0333,368222.393906254
48.3833,15.9333,338878.748688396
48.95,15.05,368601.399166806
47.4833,9.76667,295384.884406613
48.0167,13.1333,248864.141827829
48.3833,13.8833,289134.425920471
48.45,14.6833,307495.242834153
47.45,13.2,185780.517843227
48.1833,14.7,279540.337439983
46.7333,15.1167,156507.26643971
47.3333,9.73333,285046.632720272
47.9667,15.55,284487.181201736
47.4,14.8333,203086.866462037
47.4,15.8833,250031.553362411
47.4,11.8167,206679.980673173
47.7167,16.3333,298885.52095226
48.2333,13.0167,273287.913074023
48.3167,14.1833,284704.231547605
47.5667,12.6833,202281.039188968
47.8333,14.2667,233253.911984247
48.5833,14.5667,319557.008811761
47.1667,13.1,154535.088547266
48.7333,15.25,350959.320706672
47.6,15.6833,256817.399114895
48.7667,14.9833,347710.021587253
47.3167,9.98333,270677.84234121
47.2833,12.8167,169599.46988667
47.2833,12.3833,177237.296160328
47.4,16.4167,273517.094009297
47.1417,13.1206,151676.25173808
48.4333,15.1167,316345.988165266
48.4333,14.3,299019.406389134
47.5667,14.45,208599.289241528
47.25,12.5667,169685.330986319
48.35,14.5333,293810.474949923
48.7167,15.2167,348339.391470014
47.65,15.8333,268243.354455808
47.1167,10,253745.197936541
48.0167,13.2833,248111.343471486
47.9,15.9667,296174.209925085
47.7,13.3167,212813.148738238
47.8,15.75,277513.520145826
47.4,13.4,179078.178972483
47.9,13.1833,235822.311603658
47.4167,13.35,181216.537433193
47.4267,13.4239,181932.99215682
47.2894,12.6914,171845.497693528
47.6667,16.0333,279458.383519192
48.4833,16.1833,358251.236459087
48.7667,15.2833,355318.700648683
48.5667,14.65,319318.526159792
47.0722,13.7494,143071.85210968
47.4333,12.7667,186644.869856257
46.75,12.4333,120897.358165878
48.5,15.75,343230.264024295
48.5333,14.8,318860.820847573
48.4833,14.7333,312097.675276809
47.7167,13.2,215432.274998591
47.3833,13.45,177016.230505354
47.4167,13.6333,180668.669943357
47.7,13.65,212191.250724322
47.8167,15.3,260585.312118467
47.3167,14.05,173629.389760791
47.3833,11.8,205689.90587002
46.9333,12.5667,135918.418285614
47.3167,13.1,171185.962346377
47.6,13.7667,201612.964903745
48.4167,15.2167,317539.328839492
46.9,12.6333,130854.341601258
47.3336,13.2969,172426.868007005
47.3833,13.6833,177135.135957321
47.3833,13.1333,178472.314375405
47.7667,13.3656,219930.623404847
47.5333,11.7,223911.007855027
47.25,12.2667,176849.001770201
46.85,12.85,121614.390800135
46.7167,15.7667,182921.020569918
47,15.9333,216446.533264114
47.4167,15.2667,221692.160408599
47.5833,13.5333,199086.82063905
48.1167,15.8833,312004.6360519
47.1667,13.2333,154286.37110657
48.15,13.1167,263714.388105104
47.1333,13.6833,149396.567812412
47.5167,13.4333,191889.93034272
47.1136,13.7408,147581.832889396
47.0833,13.8,144760.625101046
47.3833,13.4167,177146.448923742
47.3333,11.1833,220145.646100795
47.0797,13.6947,143516.983411991
46.9167,12.3333,140899.140437019
47.1833,14.1833,161825.84425868
47.4,13.1167,180376.726429765
47.2167,13,160692.701309169
47.1,13.5,145403.372389547
51.2,7.5,221521.50295048
49.05,9.75,438588.63054564
48.65,12.1667,327995.817741268
51.9167,13.6167,198348.845284629
49.4167,10.7667,442117.354506356
49.2667,8.75,387057.677621404
49.5167,9.01667,387226.266117802
49.5333,8.56667,358958.396019637
50.6667,7.43333,228829.248053333
49.25,11.2333,411927.771597639
48.1,10.15,332280.152456822
48.25,12.7,277324.195096238
48.6333,11.4333,342777.491344245
51,9.65,273825.165435024
49.8333,10.75,417435.959819785
50.2167,11.0833,379899.553056769
50.2,9.96667,365559.736998555
49.0167,8.5,390559.020670716
48.9833,9.36667,441969.534668834
47.9833,7.81667,401414.443267379
49.7167,11.3833,438964.100651428
51.15,7.06667,191806.48147995
52.5167,7.13333,81129.5828355926
49.0333,8.46667,387510.739416819
49.1833,8.81667,396542.860316284
48.7,8.13333,396180.602791587
47.9667,11.65,268460.092748711
50.7,7.16667,209816.175652307
49.9167,11,411333.27661508
50.5,8.01667,273974.712941453
50.8333,8.76667,281501.546163719
49.2167,8.51667,377088.136413058
49.4667,8.61667,366149.973304516
50.55,8.98333,314170.69244324
49.1,8,357454.71372881
50.0667,10.6,390220.24495497
50.3,10.0167,355844.547176907
50.4333,10.3,347285.505632951
48.7833,10.6833,382121.279296656
49.6,8.65,359874.896836278
54.0833,10.7833,462.35884729424
52.4333,10.5167,131806.494846865
50.8833,6.1,132181.831925035
50.6833,6.48333,165789.56256994
49.6833,8.93333,372479.191437382
51.65,9.45,200615.582223477
50.05,7.81667,282576.317965308
50.1333,8.71667,335614.98553906
48.6667,7.93333,389207.441961807
47.8333,11.9167,246849.399354499
49.1333,12.7333,374718.964735429
48.7,9.7,406574.603918189
49.0333,9.15,426001.318368094
48.0167,7.68333,407009.453342344
47.9833,7.95,399674.178521737
49.0333,11.9667,372870.802351095
49.7,8.63333,352935.421545956
49.7167,8.68333,355058.885103702
50.05,8.23333,308229.452087706
48.1833,10.75,319533.716313528
52.6,7.86667,84783.1812538073
51.7667,6.26667,136267.142152013
49.9167,8.48333,331501.719793414
51.1333,9.01667,250011.832698133
50.2333,7.58333,258081.229139151
49.2333,9.38333,426755.495728798
49.8833,10.1833,403678.500974803
47.5167,10.2833,273127.952732131
48.3833,10.5,347542.629878849
48.0833,10.2,328743.981963959
51.1167,6.15,128688.132818532
52.0833,8.75,142823.550286424
50.3,8.56667,318473.205645426
49.2333,9.16667,413771.211167966
49.4333,9.75,437544.030943672
49.1833,8.68333,388887.814688285
48.9667,8.3,383548.996459058
48.95,8.53333,397331.508344458
47.9667,7.71667,401058.532531794
49.65,9.95,424561.372762655
48.15,10.25,333203.205648606
49.2333,9.33333,423744.47649939
48.9,9.18333,437116.820213562
48.9333,8.95,421563.984998063
49.2167,8.63333,383725.163282725
49.3833,8.8,382364.962937455
49.4833,8.66667,368075.97205399
48.3167,11.35,313206.768074421
48.5667,12.7333,312076.961097921
48.35,13.35,284741.60688201
49.0667,11.45,387332.71010327
52.8667,9.03333,65150.4468714878
52.3333,9.2,123291.958149336
50.9833,6.93333,185424.645575148
52.3167,7.88333,113276.482970866
49.6833,8.61667,352885.60643504
49.7,8.65,353961.868019691
49.65,8.65,356887.34773943
50.5167,9.11667,318935.433463172
49.85,8.7,348722.388195292
50.7333,9.66667,302731.401483982
51.2167,9.6,249719.963996053
50.7667,8.81667,289130.032596208
49.9333,7.28333,257748.679837233
49.75,6.65,237094.146936661
49.75,6.66667,237923.636978747
49.8,6.83333,242514.035073911
49.9,10.9,411850.206341342
50.05,11.6667,408697.288213392
48.6,10.5167,368819.666427761
51.4667,7.36667,198227.979371573
51.3333,9.28333,231467.590206622
49,8.81667,409316.802755849
47.6,7.63333,362692.774947444
48.1167,11.55,286726.230564121
48.1667,11.4833,293878.887333989
53.65,10.8167,35109.8624957226
51.5333,9.93333,223474.137152896
51.45,6.26667,135878.634361473
52.7833,9.21667,79814.9929355101
51.6333,7.38333,179803.925049651
49.8667,8.76667,352043.109446655
50.2333,8.88333,342186.594882293
50.0833,8.45,320765.805671705
49.8,9.93333,408048.732799947
50.1333,10.5667,382563.695070482
48.6167,9.85,392957.890885604
48.6167,10.25,378947.2162995
48.6833,10.1667,388312.605912065
48.65,9.46667,411126.163592638
49.2,8.65,385830.265827769
49.0833,8.58333,390301.103421413
49.2333,8.76667,390267.795599536
48.2833,12.15,288742.163830839
48.4667,12.7333,301010.450147592
48.5833,13.3667,310588.930334961
48.4833,12.2667,308286.89291363
49.8,10.9333,423220.034010836
49.7,10.7667,432278.295185539
50.1,11,391337.411885639
48.8333,11.2167,369483.302518548
49.5833,10.5167,442586.76984634
50.2,9.83333,363130.712979456
50.1833,9.98333,367667.664608545
50.15,10.4333,379588.952254743
49.7,10.0833,421452.176407096
50.1,10.1667,380229.810310878
48.25,10.3667,338707.972532691
51.6167,13.15,241135.611626611
51.9667,7.63333,145321.544514777
51.9167,8.38333,160602.815355307
50.4167,8.98333,328925.576496833
49.8667,8.56667,339433.902541615
49.8667,8.93333,362607.354133713
50.95,9.65,279171.595236373
50.9667,9.31667,271825.783972276
50.1333,8.45,318327.389365833
49.0833,8.2,369341.626125184
52.8,10.3833,90593.7041662221
51.8833,10.1667,185888.376671548
51.2,7.06667,191312.172359632
51.15,7.1,194126.250307314
51.25,7.11667,194466.012141004
50.7667,6.08333,136312.759715492
49.15,9.21667,422122.817848757
48.7,9.66667,407851.837541455
49.0333,8.76667,404135.799951695
48.9333,9.63333,431396.322000898
49.0833,8.48333,384756.007487083
48.9667,8.31667,384434.243003264
49.55,8.68333,364933.88400798
49.35,9,396405.913954143
49.4167,9.28333,409508.980630089
47.7667,9,358199.717958954
47.7667,8.83333,367293.184633189
48.8667,8.2,386110.385352074
48.4833,9.21667,406851.905431856
48.4667,11.1333,335326.557922945
47.9333,11.9,257629.908344248
48.0833,12.0333,269926.195429666
48.1167,12.1167,271604.594562937
48.0667,12.2333,263875.51229592
48.7833,13.45,332602.892413146
48.9167,11.6833,366058.517426885
50.1667,11.0333,384563.092048192
50.1167,11.0167,389759.464265619
49.2833,10.6833,431286.269420415
49.55,10.2333,440351.78095715
49.7833,9.41667,397759.631831469
48.2333,10.1833,343702.939003125
49.45,9.8,439767.132754083
48.5833,9.45,405682.579753729
49.2167,9,404988.386177902
48.05,11.9667,268030.160102269
48.1833,10.9833,312504.562799952
48,12.6333,250441.351630516
48.55,11.3,338229.709391696
48.8167,12.15,346344.265159071
48.4333,12.9333,295884.837162612
48.6333,13.1833,317060.764072607
49.05,11.4667,385174.129005438
51.9667,7.01667,142706.610391528
51.3167,7.33333,209375.913775894
49.9167,8.65,342023.018591834
50.3333,8.75,329288.89700835
50.5167,8.81667,316874.652645266
50,8.71667,341995.436521702
50.0833,8.51667,325043.96918371
50.4,8.21667,291213.774390634
51.9833,9.78333,173288.08441441
52.6,10.1167,106534.261605872
50.7333,7.08333,203037.431285445
53.6833,10.5667,37703.8638854894
53.6333,9.6,2342.6545642236
52.9167,8.81667,53379.0455112649
52.9667,11.15,106393.98510818
53.15,10.85,80714.0267015105
52.0667,8,141996.916996898
52.3333,8.43333,114139.102950242
51.9167,10.3167,183782.03258492
52.0167,10.5333,176270.380927573
51.3,6.73333,167560.84586817
50.7333,7.13333,206377.386470823
48.7167,9.21667,427700.002867257
49.1,8.96667,410868.399349006
48.9333,9.3,441495.611161732
49.4667,10.0333,445784.852080021
48.55,9.38333,405474.974290873
49.2167,9.41667,429801.576759267
49.0333,8.7,400401.839122807
49.3833,9.13333,402371.247814228
48.8333,8.5,404399.476649905
49.3167,8.86667,390603.864277844
49.2,8.85,397341.458901218
49.75,9.31667,393069.048279951
48.05,10.8833,301900.062368391
47.6833,11.5667,243362.924791245
48.4667,11.9333,312799.446150611
48.25,12.5,279479.810395713
48.0667,11.3833,287320.112569176
48.0333,12.3,259021.654885023
47.7667,11.1667,264497.215746627
48.8333,12.9667,340110.352641639
48.8167,12.8,339201.389073339
48.45,13.1833,296766.577121028
48.6833,11.7167,340637.394767579
48.45,12.35,303392.868487
49.1167,11.45,392575.665256751
49.2833,12.8167,390788.836830053
49.7,11.6333,445330.972341569
49.0667,12.1,374284.247945452
49.7167,11.0667,434085.498317995
49.75,11.1333,431396.805603454
48.9,11.1833,377261.761327169
49.15,10.6667,418571.544828287
49.2,10.1667,440161.740915201
49.0833,11.2167,395113.165048126
49.55,10.7167,448296.909328381
49.2833,10.2667,445512.508454624
49.3667,11.1,427535.358272085
49.7333,10.1667,419417.20018233
50.25,10.2,365028.789293571
50.1667,10.8333,381806.810609254
50.0333,10.8333,396421.450352558
50.2,9.61667,359650.509587784
49.9667,10.6833,402059.425101426
50.0167,10.6667,396385.21438036
49.8167,9.63333,401689.086502139
50.4,10.35,351313.970974715
50.4167,10.3833,349711.636052721
48.2833,10.7,331173.722710338
48.6333,10.8167,362767.738978644
48.8333,10.9167,378884.021310057
48.4833,10.3667,361834.510514302
47.6667,10.1,294749.344656959
48.5667,10.6833,360421.01008923
47.5833,9.61667,311211.446351153
51.75,14.15,207833.961262598
52.2833,14.0667,150525.56642871
52.4667,13.6833,139874.918402426
52.9667,12.9833,111846.23012152
50.9167,6.35,147575.772892536
50.9667,6.11667,130264.468103855
51.85,6.7,158667.906397127
51.6833,8.6,186475.378820054
51.3667,7.61667,210979.183531068
51.5833,7.85,190207.866468332
49.6,8.46667,348808.764734345
49.9167,9,364322.418456281
50.2333,8.86667,341084.431675303
50.4667,8.9,322857.088153518
51.05,9.28333,262278.755353033
50.7667,9.8,301703.538164346
50.9333,9.68333,281603.921743545
51.2167,9.83333,254935.756608913
51.3333,9.16667,229775.843209619
50.1833,9.18333,356323.690330651
50.0167,8.43333,323075.219391129
50.1,8.4,316735.010818755
49.9833,7.96667,295602.736375132
50,7.98333,295696.280092134
50.2167,8.26667,302526.274970824
50.5833,7.23333,218862.748258758
50.4667,7.48333,240257.716021385
49.7333,6.68333,240096.081893856
49.2,8.11667,356104.855201611
49.3333,11.0167,426366.593824978
47.7333,10.3167,291270.268888073
49.2167,7.56667,325895.60696559
48.65,9.86667,395540.206106922
49,9.13333,427315.579329183
49.15,9.61667,446034.211006501
48.4167,9.78333,376599.543769234
49.15,8.76667,395951.202860711
49.25,9.1,408734.12902208
48.8333,8.26667,392192.666039363
48.2333,12.6833,275630.027069889
48.1333,12.5833,265660.284666901
48.1833,11.25,303442.001981109
47.95,12.9333,242325.69125204
48.5833,12.1833,320494.222341803
48.7,12.0333,335742.349419234
49.2167,12.6667,384455.255812238
49.3833,12.15,408074.917770964
49.1667,11.45,397827.280929729
52.8667,8.5,54683.342440517
51.8333,9.78333,189976.506283411
52.8667,9.6,76385.6758697202
52.9333,11.2667,108929.357248419
53.0667,9.73333,53022.1440733486
53.0833,8.93333,41902.4363500661
51.5833,6.25,136131.970128625
52.2,7.8,123274.468756281
49.7333,8.63333,351017.369879588
49.5667,8.93333,379163.77088643
50.5167,8.91667,317414.272053935
50.75,9.71667,301861.533618203
51.2833,9.63333,243352.259038296
51.1,9.96667,270379.197129362
50.1667,8.68333,331921.410895262
50.15,9.01667,354522.771596802
49.9833,6.88333,231691.192447333
49.7833,10.7,422424.785128509
49.9667,11.3833,411998.164297474
50.1667,11.1167,385851.808414603
50.1,10.9,389963.409045035
50.05,10.2333,386948.512566809
49.9333,9.08333,368861.979348983
50.3333,10,351955.225640464
50.0667,9.8,376974.944283841
50.0333,10.5,393019.778139319
50.0167,10.6,395733.195563335
49.85,9.6,397604.902883846
49.95,10.0833,394586.667950795
48.75,11.0167,367308.060659357
48.75,11.1833,362029.599992375
52.8333,12.9833,124145.404013331
51.8333,7.3,157255.635853602
52.25,7.6,114061.140535745
51.6,6.91667,182349.980593472
51.7,7.15,171948.306596601
51.3833,7.7,210006.119585341
51.5667,8.33333,199674.115975397
51.55,8,196415.766753456
50.75,9.46667,297598.967730527
50.3667,8.73333,326881.362098517
50.6833,8.83333,298468.659532329
51.3,9.46667,238212.244222456
50.8167,8.78333,283419.345245122
51.15,10,266062.167949978
50.9167,9.8,285753.571232642
50.7167,9.7,305123.351247839
50.9,8.96667,275331.826901428
50.6833,8.3,286865.723464166
50.1667,8.98333,351606.63590559
50.15,8.4,314301.56621059
49.55,7.4,291394.294936582
48.9833,9.58333,438043.15083484
49.2,9.98333,445889.907082619
48.5667,9.63333,396626.579095287
49.15,9.36667,431024.066800024
49.2,9.65,444974.345958073
49.4167,8.68333,373304.527117886
49.1833,8.98333,406220.547548699
48.4333,11.35,324903.036406313
47.7667,12.1833,232983.80141571
48.45,11.35,326586.09170602
47.9167,11.1833,279431.906997912
54.4,9.93333,7480.31171011599
52.85,9.18333,72556.4509007942
52.6,9.6,105673.915897731
51.9833,9.81667,173271.413018731
52.0167,10.1333,170875.685627624
51.95,9.73333,177071.070339327
51.6333,10.4667,216703.712396034
52.9333,11.0833,107666.412721669
51.4167,6.98333,185246.254957675
49.3167,12.75,394905.021231428
50.2167,10.9833,378383.3361378
50.1,11.1667,393885.121347387
49.1667,10.3333,431856.862454507
50.0167,9.26667,375476.699835705
49.8167,10.35,414215.508872254
50.1667,10,369766.177129685
49.7167,10.2167,422159.472460409
48.4333,10.8833,341052.822232182
48.8667,10.7333,388434.143414201
48.3,10.15,351359.724121345
51.9833,14.3,180794.728509042
51.8333,14.15,198661.745707839
53,13.1667,101875.324582655
54.1333,10.6167,12622.2787502849
53.7667,9.75,15642.0674587992
52.85,8.73333,58582.8957794232
52.4,9.6,127754.772311625
52.8667,10.9333,105305.36205224
52.2333,11,165653.104956912
53.0333,8.85,42892.2646445975
51.25,6.98333,185165.891404527
50.7,7.03333,200959.001106619
52.2167,7.01667,114994.505565515
50.2667,9.1,346396.535105008
49.6667,9,377567.752414306
50.4667,8.65,317607.772816864
51.1333,9.4,254993.333458174
51.15,9.56667,256172.55314433
50.9833,10.0167,283758.374807827
51.35,9.86667,241944.519639337
50.05,8.3,312896.933867446
50.1,8.95,352357.969473293
50.2167,7.98333,284293.032886097
50.7833,7.73333,245343.15493825
49.75,7.3,271313.802284651
50.2,7.86667,277705.915584214
48.6,8.86667,433117.543648815
49.1167,10.0333,435954.461486643
49.5333,9.85,435670.229812585
49.2833,8.73333,384979.077141063
49.4667,9.21667,402460.160948751
47.75,11.45,254179.945312697
48.0167,11.0333,293977.564065425
48,12.7333,249428.514203879
48.7167,12.3667,332299.934201394
48.85,12.7667,343127.468565999
49.2667,11.3333,411142.133805489
49.9167,12.3833,437011.870534279
50.2667,10.9667,372697.03209472
49.9,11.55,422293.194881884
49.7,10.8167,432816.424304111
50.2333,11.3667,383053.586196961
49.7833,11.4167,432353.972295712
50.2167,11.9667,398236.515609228
49.45,11.0833,436602.403614339
49.5,10.8,449592.186474254
49.5167,11,445716.753628377
49.9667,10.6667,401891.187337215
50,10.6167,397732.469892959
50.1667,10.5333,378574.684379181
50.0667,9.46667,372183.604161842
49.8833,10.0333,400815.017616228
48.7833,10.8333,376784.757485656
52.45,13.2833,153143.839559558
53.2167,14.3833,44658.8869615939
52.2167,14.1167,157028.876141315
51.9833,13.3667,197779.158359668
53.15,12.8833,99664.6772876938
49.1333,10.1833,432915.022619359
49.2333,10.0667,446587.822500403
48.7167,9.41667,419338.331442275
49.0833,9.15,422624.96865507
49.0167,9.33333,437784.514551308
49.55,9.16667,394538.865133775
49.4667,8.98333,388186.339664579
48.95,8.58333,400049.727641526
48.7833,12.8667,335069.511839318
48.8167,11.7667,353610.511665681
48.75,12.2167,338053.651517579
48.5333,13.7333,305026.085515814
48.75,13.5167,328821.997975762
49.45,11.8667,419622.05543178
49.4833,11.9833,421365.375631493
49.2167,12.7667,383718.996929858
48.85,11.65,359770.849208551
48.9,11.6167,365819.772578556
49.2,12.2667,386501.893772116
53.5833,9.76667,1382.55831416996
52.1,9.31667,150365.841104397
52.7167,9.13333,82909.9359837024
52.4333,9.26667,114986.843394315
51.8833,9.63333,181039.709987341
52.9,10.9667,104276.5126673
53.1,11.05,93495.2998696615
53.0667,10.5833,72972.8565674475
52.3167,8.36667,116256.814644844
52.3,10.4333,144081.687946448
52.7833,8.41667,64233.2916531714
51.05,7.3,209435.337992545
51.8333,8.93333,172143.624648756
52.3333,8.75,115232.691285145
50.9833,8.11667,259460.579558385
50.9333,8.41667,269869.9038011
51.4167,7.53333,204749.645476925
50.6167,9.11667,307906.031614674
50.65,9.26667,305826.726940523
50.6,8.78333,307477.853278875
50.0667,8.8,344130.235851866
51.0667,8.8,255761.277567506
51.6,9.6,209307.134020346
50.95,8.7,268279.209248031
50.9667,8.68333,266368.760615109
51.05,9.06667,259678.913154602
51.1667,9.13333,247586.873865205
51.3333,8.96667,227493.11390927
50.8833,9.35,281384.819129617
50.1333,9.41667,364276.352766722
50.2,8.58333,323891.505125888
50.1667,8.06667,292106.683998769
50.5667,8.5,304074.378961794
50.15,7.73333,271909.50373247
50.9333,6.21667,138080.942668144
51.9833,8.51667,152985.491543505
52.3,8.91667,120977.94149118
51.5833,9.3,204751.772096531
50.9167,8.45,271675.337848799
51.2833,7.3,207119.622083295
49.5833,8.98333,381274.778194635
50.4,8.66667,321161.080284387
50.6667,8.73333,299872.649102628
51.1333,9.28333,253201.321816529
51,9.41667,269695.187127406
50.5833,9.88333,322937.926921885
50.55,9.58333,321116.260832633
50.5167,9.73333,327235.929347509
51.0667,9.71667,268078.88047929
50.95,9.86667,283689.556970344
51.05,9.86667,273172.069516662
51.1333,9.13333,251249.893316076
50.8333,9.25,285532.353200574
50.8833,9.25,280056.506117549
50.9167,9.25,276400.535708697
50.15,8.73333,335940.849750104
50.0833,8.56667,328260.133878397
50.7333,8.35,288873.086893805
50.3,8.26667,298743.685645817
50.5167,8.26667,290060.235930695
50.0333,7.95,291778.96281337
49.8167,7.13333,257351.964592733
50.2667,7.98333,281865.27049287
49.7333,8.31667,331616.755543094
48.4,9.98333,367205.108280399
48.75,10.1167,396592.226402905
49.4333,10.1,450521.24475544
49.4,9.81667,443586.446017205
49.0167,9.9,430231.785944951
48.5833,10.0333,383046.325696685
49.6333,9.41667,405598.285735123
49.5833,9.16667,392645.284326734
49.3,8.73333,383868.257276859
49.3,9.28333,416576.38837965
47.8833,12.0167,249327.298121256
48.6,11.6833,332694.490372047
49.15,12.65,377224.18520866
49.4333,12.35,411160.844538657
49.1667,11.7167,391939.889630776
49.1,12.4833,373102.96759744
49.5667,11.7167,434842.904134668
49.3667,12.5333,402091.564423478
50,12.0833,423730.492304563
49.85,11,418618.683397249
49.85,10.5,413279.371674978
50.0167,11.1833,403179.807854492
50.0167,11.7167,413310.674628026
49.7667,10.9,426457.941309915
50.1,11.65,403033.627087035
50.1167,11.6167,400547.874737888
49.4,10.5167,448300.859686143
49.3667,10.4833,446109.752598274
49.3333,10.8,432675.841871149
49.3667,11.2167,424498.958983763
49.4,11.4,423567.688763631
49.3833,10.3333,452852.473607937
49.55,10.4167,443992.249926633
50.1833,10.3333,375082.435311932
50.25,9.73333,356036.910188322
50.1167,9.9,373284.644992384
49.9833,9.96667,388845.103990187
48.1333,10.5833,319817.676217268
48.4833,10.6667,352418.51861627
52.3667,14.5333,137122.047834676
53.25,10.8833,77186.5901512328
53.5,10.4833,43466.3270995157
53.7333,9.88333,19397.3198715618
54.1667,10.4167,24317.5658469025
53.9333,10.3,32077.7930912103
53.45,9.98333,14468.4605020632
52.3,9.8,138038.045400344
52.6667,9.25,91780.557282137
52.3,10.3167,142032.112458335
