"CULT_ID","PLANT_ID","BBCH","N","meanyr","description","sci_name","cult_name"
0,114,65,308,2013.00974025974,"Full flowering","Tussilago farfara","no specification"
0,232,81,33,1979.21212121212,"Beginning of ripening","Punica granatum","no specification"
0,202,69,13,1985.61538461538,"End of flowering","Prunus persica","no specification"
0,232,11,7,1957,"Leaf unfolding (first visible leaf stalk)","Punica granatum","no specification"
0,202,94,8,1972.875,"Autumnal coloring of leaves (50%)","Prunus persica","no specification"
0,232,94,24,1980,"Autumnal coloring of leaves (50%)","Punica granatum","no specification"
0,232,60,40,1978.725,"Beginning of flowering ","Punica granatum","no specification"
0,603,60,9,1927,"Beginning of flowering ","Rhinanthus","no specification"
0,101,97,5093,2000.98566660122,"End of autumnal leaf fall (95% fallen)","Aesculus hippocastanum","no specification"
0,232,95,28,1977.5,"50 % autumnal leaf fall","Punica granatum","no specification"
0,213,65,3,1996.66666666667,"Full flowering","Citrus reticulata","no specification"
0,232,86,5,1956.6,"First ripe fruits","Punica granatum","no specification"
0,196,65,6,2013.5,"Full flowering","Arbutus enedo","no specification"
0,115,96,1,2014,"Coloring of leaves (100%)","Acer","no specification"
0,107,81,23,2007.78260869565,"Beginning of ripening","Corylus avellana","no specification"
0,107,100,13,2006.61538461538,"Harvest","Corylus avellana","no specification"
0,107,87,2,2014,"Fruits ripe for picking","Corylus avellana","no specification"
0,197,65,18,2010.33333333333,"Full flowering","Spartium junceum","no specification"
0,107,94,3783,2004.05789056305,"Autumnal coloring of leaves (50%)","Corylus avellana","no specification"
0,107,65,420,2008.29047619048,"Full flowering","Corylus avellana","no specification"
0,107,97,2521,2002.53351844506,"End of autumnal leaf fall (95% fallen)","Corylus avellana","no specification"
0,107,69,12,2007.08333333333,"End of flowering","Corylus avellana","no specification"
0,107,95,138,2011.65217391304,"50 % autumnal leaf fall","Corylus avellana","no specification"
0,107,96,1,2014,"Coloring of leaves (100%)","Corylus avellana","no specification"
0,107,86,4309,1998.79902529589,"First ripe fruits","Corylus avellana","no specification"
0,107,60,135044,1981.25445040135,"Beginning of flowering ","Corylus avellana","no specification"
0,107,11,1856,2002.32543103448,"Leaf unfolding (first visible leaf stalk)","Corylus avellana","no specification"
0,107,13,5398,1989.5400148203,"Leaf unfolding (50%)","Corylus avellana","no specification"
0,310,100,25,2012.08,"Harvest","Brassica napus","no specification"
0,202,86,27,1947.85185185185,"First ripe fruits","Prunus persica","no specification"
0,310,14,16,2012,"Leaf unfolding (4.true leaves, leaf pairs or whoris unfolded)","Brassica napus","no specification"
0,202,81,20,1967.55,"Beginning of ripening","Prunus persica","no specification"
0,229,69,17,1980.52941176471,"End of flowering","Ribes rubrum","no specification"
0,222,94,648,2005.35185185185,"Autumnal coloring of leaves (50%)","Prunus avium","no specification"
0,215,69,1,2014,"End of flowering","Ficus","no specification"
0,118,65,292,2013.01712328767,"Full flowering","Anemone","no specification"
0,222,86,6,2013,"First ripe fruits","Prunus avium","no specification"
0,120,11,93510,1983.57173564325,"Leaf unfolding (first visible leaf stalk)","Fraxinus excelsior","no specification"
0,203,65,93,1981.34408602151,"Full flowering","Juglans","no specification"
0,222,65,378,2012.10317460317,"Full flowering","Prunus avium","no specification"
0,108,94,173,2011.00578034682,"Autumnal coloring of leaves (50%)","Fagus","no specification"
0,222,87,114,1991.27192982456,"Fruits ripe for picking","Prunus avium","no specification"
0,108,86,136,2010.99264705882,"First ripe fruits","Fagus","no specification"
0,203,86,5,2004.8,"First ripe fruits","Juglans","no specification"
0,203,100,85,1979.30588235294,"Harvest","Juglans","no specification"
0,108,11,176,2011.01704545455,"Leaf unfolding (first visible leaf stalk)","Fagus","no specification"
0,203,60,167,1960.41317365269,"Beginning of flowering ","Juglans","no specification"
0,109,11,3,2007,"Leaf unfolding (first visible leaf stalk)","Forsythia suspensa","no specification"
0,604,60,5,1927,"Beginning of flowering ","Orobanche minor","no specification"
0,109,97,3,2007,"End of autumnal leaf fall (95% fallen)","Forsythia suspensa","no specification"
0,110,65,2,1954.5,"Full flowering","Picea abies (P.excelsa)","no specification"
0,110,30,13,2014,"beginning of growth","Picea abies (P.excelsa)","no specification"
0,232,65,39,1975.20512820513,"Full flowering","Punica granatum","no specification"
0,110,11,49,1981.32653061224,"Leaf unfolding (first visible leaf stalk)","Picea abies (P.excelsa)","no specification"
0,110,61,54,2011.64814814815,"Flowering 10% (male)","Picea abies (P.excelsa)","no specification"
0,110,60,40618,1974.37589246147,"Beginning of flowering ","Picea abies (P.excelsa)","no specification"
0,110,10,119250,1982.54999580713,"First leaves seperated (mouse ear)","Picea abies (P.excelsa)","no specification"
0,107,10,66,2008.16666666667,"First leaves seperated (mouse ear)","Corylus avellana","no specification"
0,110,13,323,2013.00619195046,"Leaf unfolding (50%)","Picea abies (P.excelsa)","no specification"
0,111,11,133811,1981.10811517738,"Leaf unfolding (first visible leaf stalk)","Quercus robur (Q.peduncula)","no specification"
0,124,0,1,2013,"Sowing","Robinia pseudoacacia","no specification"
0,111,97,3,2006.33333333333,"End of autumnal leaf fall (95% fallen)","Quercus robur (Q.peduncula)","no specification"
0,111,10,756,1986.18915343915,"First leaves seperated (mouse ear)","Quercus robur (Q.peduncula)","no specification"
0,111,60,786,1982.42111959288,"Beginning of flowering ","Quercus robur (Q.peduncula)","no specification"
0,204,81,2,1953.5,"Beginning of ripening","Cydonia oblonga","no specification"
0,111,86,103826,1981.9588157109,"First ripe fruits","Quercus robur (Q.peduncula)","no specification"
0,111,94,124740,1981.24368286035,"Autumnal coloring of leaves (50%)","Quercus robur (Q.peduncula)","no specification"
0,111,95,37635,1995.5836056862,"50 % autumnal leaf fall","Quercus robur (Q.peduncula)","no specification"
0,111,96,7,2005.71428571429,"Coloring of leaves (100%)","Quercus robur (Q.peduncula)","no specification"
0,111,69,1,2001,"End of flowering","Quercus robur (Q.peduncula)","no specification"
0,111,19,13,1926.38461538462,"Leaf unfolding (9.true leaves, leaf pairs or whoris unfolded)","Quercus robur (Q.peduncula)","no specification"
0,112,87,1,2006,"Fruits ripe for picking","Sambucus","no specification"
0,224,92,8,2013.125,"Leaves beginning to discolour","Vitis vinifera","no specification"
0,205,69,28,1984.10714285714,"End of flowering","Prunus armeniaca","no specification"
0,205,11,2,2013.5,"Leaf unfolding (first visible leaf stalk)","Prunus armeniaca","no specification"
0,125,60,1035,2012.02415458937,"Beginning of flowering ","Salix","no specification"
0,112,51,3,2012.33333333333,"First flower buds visible","Sambucus","no specification"
0,112,86,1068,2012.99344569288,"First ripe fruits","Sambucus","no specification"
0,332,89,15,1968.93333333333,"Fruits fully ripe","Secale cereale","no specification"
0,112,75,2,2009,"Beginning of milk ripeness","Sambucus","no specification"
0,223,69,98345,1979.46105038385,"End of flowering","Prunus cerasus","no specification"
0,205,94,15,1986.73333333333,"Autumnal coloring of leaves (50%)","Prunus armeniaca","no specification"
0,112,89,2,2008.5,"Fruits fully ripe","Sambucus","no specification"
0,223,60,126782,1978.46516855705,"Beginning of flowering ","Prunus cerasus","no specification"
0,112,95,2,2009.5,"50 % autumnal leaf fall","Sambucus","no specification"
0,223,95,28,1981.96428571429,"50 % autumnal leaf fall","Prunus cerasus","no specification"
0,205,100,34,1976.5,"Harvest","Prunus armeniaca","no specification"
0,112,92,4,2010.5,"Leaves beginning to discolour","Sambucus","no specification"
0,206,60,82160,1971.3622322298,"Beginning of flowering ","Fragaria","no specification"
0,207,87,46530,1972.68145282613,"Fruits ripe for picking","Rubus rubus","no specification"
0,207,60,41393,1972.82898074554,"Beginning of flowering ","Rubus rubus","no specification"
0,112,63,3,2010,"30% of flowers open, maize:male:beginning of pollen shedding,female: tips of stigmata visible","Sambucus","no specification"
0,208,11,1,1952,"Leaf unfolding (first visible leaf stalk)","Morus","no specification"
0,208,65,1,1952,"Full flowering","Morus","no specification"
0,112,15,1,2007,"Leaf unfolding (5.true leaves, leaf pairs or whoris unfolded)","Sambucus","no specification"
0,440,0,60431,1987.74223494564,"Sowing","Zea mays","no specification"
0,112,11,9,2011.77777777778,"Leaf unfolding (first visible leaf stalk)","Sambucus","no specification"
0,112,81,4,2008.25,"Beginning of ripening","Sambucus","no specification"
0,112,55,15,2010.8,"Middle of heading: half of inflorescence emerged","Sambucus","no specification"
0,112,65,19,2010.89473684211,"Full flowering","Sambucus","no specification"
0,225,86,5,2013,"First ripe fruits","Prunus domestica","no specification"
0,112,61,9,2010.66666666667,"Flowering 10% (male)","Sambucus","no specification"
0,112,14,1,2013,"Leaf unfolding (4.true leaves, leaf pairs or whoris unfolded)","Sambucus","no specification"
0,333,11,6,2013.5,"Leaf unfolding (first visible leaf stalk)","Triticum aestivum","no specification"
0,333,55,5,2013.4,"Middle of heading: half of inflorescence emerged","Triticum aestivum","no specification"
0,126,65,1344,2000.95758928571,"Full flowering","Sorbus aucuparia","no specification"
0,112,59,3,2012.33333333333,"End of heading: inflorescence fully emerged","Sambucus","no specification"
0,210,60,5,1927,"Beginning of flowering ","Mespilus germanica","no specification"
0,212,81,7,1966.57142857143,"Beginning of ripening","Citrus ? limon","no specification"
0,126,95,30957,2000.85328035662,"50 % autumnal leaf fall","Sorbus aucuparia","no specification"
0,212,60,16,1966.3125,"Beginning of flowering ","Citrus ? limon","no specification"
0,112,85,4,2007,"Soft dough","Sambucus","no specification"
0,112,69,10,2011.4,"End of flowering","Sambucus","no specification"
0,112,7,1,2007,"Beginning of sprouting","Sambucus","no specification"
0,112,60,1124,2012.98487544484,"Beginning of flowering ","Sambucus","no specification"
0,212,100,9,1969.22222222222,"Harvest","Citrus ? limon","no specification"
0,112,94,1,2012,"Autumnal coloring of leaves (50%)","Sambucus","no specification"
0,212,69,8,1967.375,"End of flowering","Citrus ? limon","no specification"
0,113,60,10964,1985.11793141189,"Beginning of flowering ","Dactylis glomerata","no specification"
0,113,65,3180,2012.06666666667,"Full flowering","Dactylis glomerata","no specification"
0,127,86,37,1885.08108108108,"First ripe fruits","Syringa vulgaris","no specification"
0,128,94,49,1985.14285714286,"Autumnal coloring of leaves (50%)","Taraxacum officinale","no specification"
0,115,94,11,2004.36363636364,"Autumnal coloring of leaves (50%)","Acer","no specification"
0,115,95,11,2008.18181818182,"50 % autumnal leaf fall","Acer","no specification"
0,115,60,956,2012.91317991632,"Beginning of flowering ","Acer","no specification"
0,128,11,50,1985.5,"Leaf unfolding (first visible leaf stalk)","Taraxacum officinale","no specification"
0,224,65,10925,1982.09308924485,"Full flowering","Vitis vinifera","no specification"
0,129,96,1,2001,"Coloring of leaves (100%)","Tilia","no specification"
0,225,94,7,2008.42857142857,"Autumnal coloring of leaves (50%)","Prunus domestica","no specification"
0,601,60,1,2013,"Beginning of flowering ","Medicago sativa","no specification"
0,115,65,8,2004.125,"Full flowering","Acer","no specification"
0,660,60,99210,1978.08733998589,"Beginning of flowering ","Calluna vulgaris","no specification"
0,214,100,20,1973.65,"Harvest","Citrus ? aurantium","no specification"
0,214,65,34,1977.41176470588,"Full flowering","Citrus ? aurantium","no specification"
0,224,87,209,1989.17224880383,"Fruits ripe for picking","Vitis vinifera","no specification"
0,115,97,1,2014,"End of autumnal leaf fall (95% fallen)","Acer","no specification"
0,214,94,1,1972,"Autumnal coloring of leaves (50%)","Citrus ? aurantium","no specification"
0,214,95,1,1987,"50 % autumnal leaf fall","Citrus ? aurantium","no specification"
0,214,60,34,1978.41176470588,"Beginning of flowering ","Citrus ? aurantium","no specification"
0,215,94,9,1969.77777777778,"Autumnal coloring of leaves (50%)","Ficus","no specification"
0,215,65,1,2014,"Full flowering","Ficus","no specification"
0,115,11,16,2002.625,"Leaf unfolding (first visible leaf stalk)","Acer","no specification"
0,337,100,5639,2000.28941301649,"Harvest","Helianthus annuus","no specification"
0,116,94,1,1983,"Autumnal coloring of leaves (50%)","Crataegus","no specification"
0,224,95,51,2012.13725490196,"50 % autumnal leaf fall","Vitis vinifera","no specification"
0,116,60,44,1977.34090909091,"Beginning of flowering ","Crataegus","no specification"
0,337,85,2,2013.5,"Soft dough","Helianthus annuus","no specification"
0,337,10,5879,2000.49311107331,"First leaves seperated (mouse ear)","Helianthus annuus","no specification"
0,337,51,5171,2000.2811835235,"First flower buds visible","Helianthus annuus","no specification"
0,116,86,27,1978.96296296296,"First ripe fruits","Crataegus","no specification"
0,224,94,3494,1994.75844304522,"Autumnal coloring of leaves (50%)","Vitis vinifera","no specification"
0,215,100,7,1968.71428571429,"Harvest","Ficus","no specification"
0,135,87,15,2012.33333333333,"Fruits ripe for picking","Prunus padus","no specification"
0,135,65,45,2012.95555555556,"Full flowering","Prunus padus","no specification"
0,135,60,37674,1972.3552582683,"Beginning of flowering ","Prunus padus","no specification"
0,135,86,8,2014,"First ripe fruits","Prunus padus","no specification"
0,136,65,214,2013,"Full flowering","Colchicum autumnale","no specification"
0,118,60,132022,1981.77060641408,"Beginning of flowering ","Anemone","no specification"
0,139,60,667,1963.99550224888,"Beginning of flowering ","Convallaria majalis","no specification"
0,120,86,3,1984.66666666667,"First ripe fruits","Fraxinus excelsior","no specification"
0,120,94,2312,2001.4714532872,"Autumnal coloring of leaves (50%)","Fraxinus excelsior","no specification"
0,120,85,3,2013.66666666667,"Soft dough","Fraxinus excelsior","no specification"
0,120,65,20,2005.75,"Full flowering","Fraxinus excelsior","no specification"
0,224,81,2571,1998.10346168806,"Beginning of ripening","Vitis vinifera","no specification"
0,120,97,1397,2000.49105225483,"End of autumnal leaf fall (95% fallen)","Fraxinus excelsior","no specification"
0,120,60,74607,1983.9642392805,"Beginning of flowering ","Fraxinus excelsior","no specification"
0,120,95,63,1982.80952380952,"50 % autumnal leaf fall","Fraxinus excelsior","no specification"
0,120,96,2,2014,"Coloring of leaves (100%)","Fraxinus excelsior","no specification"
0,121,60,162508,1978.99379722844,"Beginning of flowering ","Galanthus nivalis","no specification"
0,122,13,357,2012.99719887955,"Leaf unfolding (50%)","Larix decidua","no specification"
0,122,95,9838,2004.3388900183,"50 % autumnal leaf fall","Larix decidua","no specification"
0,122,10,111072,1982.29604220686,"First leaves seperated (mouse ear)","Larix decidua","no specification"
0,122,65,22,1942.77272727273,"Full flowering","Larix decidua","no specification"
0,122,94,35735,2001.15293129985,"Autumnal coloring of leaves (50%)","Larix decidua","no specification"
0,122,60,11,1926.09090909091,"Beginning of flowering ","Larix decidua","no specification"
0,122,11,988,1972.12753036437,"Leaf unfolding (first visible leaf stalk)","Larix decidua","no specification"
0,123,60,123675,1981.76354154033,"Beginning of flowering ","Prunus spinosa","no specification"
0,123,65,837,2006.05495818399,"Full flowering","Prunus spinosa","no specification"
0,123,86,64,2009.90625,"First ripe fruits","Prunus spinosa","no specification"
0,123,11,386,1987.29274611399,"Leaf unfolding (first visible leaf stalk)","Prunus spinosa","no specification"
0,124,95,177,2010.75706214689,"50 % autumnal leaf fall","Robinia pseudoacacia","no specification"
0,148,60,9,1981.33333333333,"Beginning of flowering ","Abies alba","no specification"
0,124,61,15,2011.33333333333,"Flowering 10% (male)","Robinia pseudoacacia","no specification"
0,124,11,222,1974.35135135135,"Leaf unfolding (first visible leaf stalk)","Robinia pseudoacacia","no specification"
0,124,7,48673,1971.98335833008,"Beginning of sprouting","Robinia pseudoacacia","no specification"
0,124,55,36,2011.30555555556,"Middle of heading: half of inflorescence emerged","Robinia pseudoacacia","no specification"
0,124,10,12,2011.83333333333,"First leaves seperated (mouse ear)","Robinia pseudoacacia","no specification"
0,124,69,27,2011.77777777778,"End of flowering","Robinia pseudoacacia","no specification"
0,124,13,930,2005.39677419355,"Leaf unfolding (50%)","Robinia pseudoacacia","no specification"
0,124,97,740,2003.55540540541,"End of autumnal leaf fall (95% fallen)","Robinia pseudoacacia","no specification"
0,124,65,3418,1995.17437097718,"Full flowering","Robinia pseudoacacia","no specification"
0,124,94,50,2009.12,"Autumnal coloring of leaves (50%)","Robinia pseudoacacia","no specification"
0,124,60,97926,1981.79541694749,"Beginning of flowering ","Robinia pseudoacacia","no specification"
0,124,86,1014,2012.94378698225,"First ripe fruits","Robinia pseudoacacia","no specification"
0,380,75,1,1951,"Beginning of milk ripeness","Gossypium","no specification"
0,220,11,21,2013.57142857143,"Leaf unfolding (first visible leaf stalk)","Malus x domestica","no specification"
0,159,60,43,1948.06976744186,"Beginning of flowering ","Primula","no specification"
0,161,65,1,2013,"Full flowering","Catalpa","no specification"
0,161,11,1,2013,"Leaf unfolding (first visible leaf stalk)","Catalpa","no specification"
0,225,100,8,1986,"Harvest","Prunus domestica","no specification"
0,440,110,1270,2013.48661417323,"Harvest: silage","Zea mays","no specification"
0,164,85,8,2013.625,"Soft dough","Platanus","no specification"
0,440,60,176,2005.69318181818,"Beginning of flowering ","Zea mays","no specification"
0,171,60,20,2007.05,"Beginning of flowering ","Crocus","no specification"
0,225,69,73796,1970.71475418722,"End of flowering","Prunus domestica","no specification"
0,225,65,74845,1969.75425212105,"Full flowering","Prunus domestica","no specification"
0,173,97,6,2012,"End of autumnal leaf fall (95% fallen)","Leucojum vernum","no specification"
0,173,94,6,2012,"Autumnal coloring of leaves (50%)","Leucojum vernum","no specification"
0,177,11,4,1957.75,"Leaf unfolding (first visible leaf stalk)","Magnolia","no specification"
0,781,69,212,1987.03301886792,"End of flowering","Olea europea","no specification"
0,782,86,147,1988.29931972789,"First ripe fruits","Prunus amygdalis","no specification"
0,181,60,232,1964.9224137931,"Beginning of flowering ","Onobrychis","no specification"
0,220,94,671,1968.97615499255,"Autumnal coloring of leaves (50%)","Malus x domestica","no specification"
0,440,85,5354,2008.28016436309,"Soft dough","Zea mays","no specification"
0,440,63,7,1982.28571428571,"30% of flowers open, maize:male:beginning of pollen shedding,female: tips of stigmata visible","Zea mays","no specification"
0,440,102,46523,1985.06495711798,"first cut for silage winning","Zea mays","no specification"
0,221,65,10,2013.4,"Full flowering","Citrus sinensis","no specification"
0,440,75,8298,2007.07965774886,"Beginning of milk ripeness","Zea mays","no specification"
0,125,11,7,1958.85714285714,"Leaf unfolding (first visible leaf stalk)","Salix","no specification"
0,782,94,155,1986.58709677419,"Autumnal coloring of leaves (50%)","Prunus amygdalis","no specification"
0,125,65,3,1955.66666666667,"Full flowering","Salix","no specification"
0,783,65,3,1960,"Full flowering","Rosmarinus officinalis","no specification"
0,440,89,60,2005.56666666667,"Fruits fully ripe","Zea mays","no specification"
0,440,120,4235,1986.23589138135,"Harvest: corn-cob-mix","Zea mays","no specification"
0,126,60,105163,1984.58664168957,"Beginning of flowering ","Sorbus aucuparia","no specification"
0,126,11,43173,2001.01730248072,"Leaf unfolding (first visible leaf stalk)","Sorbus aucuparia","no specification"
0,199,60,3,2013,"Beginning of flowering ","Inula viscosa","no specification"
0,126,87,303,2012.97359735974,"Fruits ripe for picking","Sorbus aucuparia","no specification"
0,126,10,196,2010.81632653061,"First leaves seperated (mouse ear)","Sorbus aucuparia","no specification"
0,126,7,33380,2000.70173756741,"Beginning of sprouting","Sorbus aucuparia","no specification"
0,201,60,56052,1971.12579390566,"Beginning of flowering ","Rubus idaeus","no specification"
0,126,97,4495,1999.97953281424,"End of autumnal leaf fall (95% fallen)","Sorbus aucuparia","no specification"
0,126,86,107687,1983.16840472852,"First ripe fruits","Sorbus aucuparia","no specification"
0,126,94,6562,2003.38814385858,"Autumnal coloring of leaves (50%)","Sorbus aucuparia","no specification"
0,126,96,13,2014,"Coloring of leaves (100%)","Sorbus aucuparia","no specification"
0,126,13,331,2013.03021148036,"Leaf unfolding (50%)","Sorbus aucuparia","no specification"
0,127,95,126,2012.07142857143,"50 % autumnal leaf fall","Syringa vulgaris","no specification"
0,127,60,168994,1979.6594908695,"Beginning of flowering ","Syringa vulgaris","no specification"
0,127,97,7,2008.85714285714,"End of autumnal leaf fall (95% fallen)","Syringa vulgaris","no specification"
0,127,65,1756,1996.33997722096,"Full flowering","Syringa vulgaris","no specification"
0,127,11,1420,1996.1485915493,"Leaf unfolding (first visible leaf stalk)","Syringa vulgaris","no specification"
0,213,100,1,1988,"Harvest","Citrus reticulata","no specification"
0,225,81,8,1986,"Beginning of ripening","Prunus domestica","no specification"
0,128,65,370,2012.9972972973,"Full flowering","Taraxacum officinale","no specification"
0,128,60,149806,1980.7313658999,"Beginning of flowering ","Taraxacum officinale","no specification"
0,128,95,49,1985.14285714286,"50 % autumnal leaf fall","Taraxacum officinale","no specification"
0,213,69,2,1995,"End of flowering","Citrus reticulata","no specification"
0,225,11,6,2012.83333333333,"Leaf unfolding (first visible leaf stalk)","Prunus domestica","no specification"
0,550,103,131575,1977.73345240357,"first cut for hay winning","Meadow","no specification"
0,338,100,3,1999.33333333333,"Harvest","Solanum tuberosum","no specification"
0,669,86,3,1984,"First ripe fruits","Populus","no specification"
0,220,97,366,1975.56010928962,"End of autumnal leaf fall (95% fallen)","Malus x domestica","no specification"
0,225,60,110127,1971.0394726089,"Beginning of flowering ","Prunus domestica","no specification"
0,129,97,1,2001,"End of autumnal leaf fall (95% fallen)","Tilia","no specification"
0,225,95,8,2000.75,"50 % autumnal leaf fall","Prunus domestica","no specification"
0,147,86,1,1951,"First ripe fruits","Ulmus","no specification"
0,661,60,1735,2012.76657060519,"Beginning of flowering ","Cornus","no specification"
0,202,100,19,1968.36842105263,"Harvest","Prunus persica","no specification"
0,233,65,2,1975.5,"Full flowering","Prunus cerasifera","no specification"
0,129,65,1,2001,"Full flowering","Tilia","no specification"
0,661,86,18427,2001.37385358441,"First ripe fruits","Cornus","no specification"
0,220,85,17,2013.23529411765,"Soft dough","Malus x domestica","no specification"
0,663,89,1156,1994.46539792388,"Fruits fully ripe","Fragaria vesca","no specification"
0,663,86,173,1990.79768786127,"First ripe fruits","Fragaria vesca","no specification"
0,129,60,1,2001,"Beginning of flowering ","Tilia","no specification"
0,663,10,63,2007.96825396825,"First leaves seperated (mouse ear)","Fragaria vesca","no specification"
0,129,11,1,2001,"Leaf unfolding (first visible leaf stalk)","Tilia","no specification"
0,310,0,18,2011.94444444444,"Sowing","Brassica napus","no specification"
0,665,65,9,1965.66666666667,"Full flowering","Satureja montana","no specification"
0,665,86,1,1970,"First ripe fruits","Satureja montana","no specification"
0,665,60,10,1968.3,"Beginning of flowering ","Satureja montana","no specification"
0,131,60,49330,1971.7528887087,"Beginning of flowering ","Symphoricarpos rivularis","no specification"
0,133,60,47289,1972.84154877456,"Beginning of flowering ","Philadelphus coronarius","no specification"
0,338,0,2,2013,"Sowing","Solanum tuberosum","no specification"
0,222,85,32,2013.46875,"Soft dough","Prunus avium","no specification"
0,338,89,2,2013,"Fruits fully ripe","Solanum tuberosum","no specification"
0,320,60,18,1926.38888888889,"Beginning of flowering ","Linum","no specification"
0,227,69,898,1991.66035634744,"End of flowering","Pyrus communis","no specification"
0,136,60,60553,1969.89303585289,"Beginning of flowering ","Colchicum autumnale","no specification"
0,203,81,85,1980.71764705882,"Beginning of ripening","Juglans","no specification"
0,161,60,1,2013,"Beginning of flowering ","Catalpa","no specification"
0,667,61,36,2013,"Flowering 10% (male)","Juniperis communis","no specification"
0,224,60,14239,1977.52468572231,"Beginning of flowering ","Vitis vinifera","no specification"
0,140,60,18,1978.27777777778,"Beginning of flowering ","Pinus","no specification"
0,140,11,22,1982.40909090909,"Leaf unfolding (first visible leaf stalk)","Pinus","no specification"
0,203,94,64,1982.890625,"Autumnal coloring of leaves (50%)","Juglans","no specification"
0,224,97,5,1978.6,"End of autumnal leaf fall (95% fallen)","Vitis vinifera","no specification"
0,669,95,44,1983.38636363636,"50 % autumnal leaf fall","Populus","no specification"
0,140,65,4,1954,"Full flowering","Pinus","no specification"
0,332,13,7,1957.71428571429,"Leaf unfolding (50%)","Secale cereale","no specification"
0,206,87,77303,1970.87021202282,"Fruits ripe for picking","Fragaria","no specification"
0,141,60,19,1926.47368421053,"Beginning of flowering ","Berberis vulgaris","no specification"
0,143,65,1,2013,"Full flowering","Anemone hepatica","no specification"
0,143,60,781,1963.40845070423,"Beginning of flowering ","Anemone hepatica","no specification"
0,146,65,333,2013.00600600601,"Full flowering","Leucanthemum","no specification"
0,782,60,332,1986.70180722892,"Beginning of flowering ","Prunus amygdalis","no specification"
0,147,11,2,1952.5,"Leaf unfolding (first visible leaf stalk)","Ulmus","no specification"
0,147,65,2,1952.5,"Full flowering","Ulmus","no specification"
0,227,65,316,2009.75,"Full flowering","Pyrus communis","no specification"
0,147,60,2,1952.5,"Beginning of flowering ","Ulmus","no specification"
0,148,65,1,1954,"Full flowering","Abies alba","no specification"
0,148,11,12,1982.16666666667,"Leaf unfolding (first visible leaf stalk)","Abies alba","no specification"
0,203,69,80,1984.175,"End of flowering","Juglans","no specification"
0,149,60,743,1964.05518169583,"Beginning of flowering ","Viola","no specification"
0,150,60,12,1926.58333333333,"Beginning of flowering ","Atropa belladonna","no specification"
0,151,60,15,1926.4,"Beginning of flowering ","Carpinus betulus","no specification"
0,669,94,51,1984.25490196078,"Autumnal coloring of leaves (50%)","Populus","no specification"
