"CULT_ID","PLANT_ID","BBCH","N","meanyr","description","sci_name","cult_name"
0,101,60,160958,1980.25488015507,"Beginning of flowering ","Aesculus hippocastanum","no specification"
0,101,13,4705,1988.89202975558,"Leaf unfolding (50%)","Aesculus hippocastanum","no specification"
0,101,11,160100,1980.20206121174,"Leaf unfolding (first visible leaf stalk)","Aesculus hippocastanum","no specification"
0,101,95,45533,1991.67829925548,"50 % autumnal leaf fall","Aesculus hippocastanum","no specification"
0,101,86,149847,1980.63893171034,"First ripe fruits","Aesculus hippocastanum","no specification"
0,101,96,11,2005.36363636364,"Coloring of leaves (100%)","Aesculus hippocastanum","no specification"
0,196,85,5,2013,"Soft dough","Arbutus enedo","no specification"
0,196,60,6,2013.33333333333,"Beginning of flowering ","Arbutus enedo","no specification"
0,197,11,2,1958,"Leaf unfolding (first visible leaf stalk)","Spartium junceum","no specification"
0,197,86,1,1958,"First ripe fruits","Spartium junceum","no specification"
0,197,85,16,2013.5,"Soft dough","Spartium junceum","no specification"
0,101,7,135,2012.21481481481,"Beginning of sprouting","Aesculus hippocastanum","no specification"
0,197,60,33,1992.21212121212,"Beginning of flowering ","Spartium junceum","no specification"
0,101,65,5579,1990.88205771644,"Full flowering","Aesculus hippocastanum","no specification"
0,198,60,5,2013.6,"Beginning of flowering ","Cistus albidus","no specification"
0,198,65,6,2013.5,"Full flowering","Cistus albidus","no specification"
0,199,65,3,2013,"Full flowering","Inula viscosa","no specification"
0,101,94,143923,1980.7595450345,"Autumnal coloring of leaves (50%)","Aesculus hippocastanum","no specification"
0,200,60,134810,1978.33932200875,"Beginning of flowering ","Ribes grossularia","no specification"
0,103,60,35656,2000.92856742203,"Beginning of flowering ","Alopecurus pratensis","no specification"
0,103,65,35606,1982.69187777341,"Full flowering","Alopecurus pratensis","no specification"
0,104,60,813,2013.9778597786,"Beginning of flowering ","Ambrosia artemisiifolia","no specification"
0,105,60,25334,2000.92196257993,"Beginning of flowering ","Artemisia vulgaris","no specification"
0,201,87,61515,1970.6531415102,"Fruits ripe for picking","Rubus idaeus","no specification"
0,229,60,122114,1978.15616555022,"Beginning of flowering ","Ribes rubrum","no specification"
0,229,95,9,1968.44444444444,"50 % autumnal leaf fall","Ribes rubrum","no specification"
0,198,85,4,2013.5,"Soft dough","Cistus albidus","no specification"
0,229,86,1,2014,"First ripe fruits","Ribes rubrum","no specification"
0,229,81,6,1962,"Beginning of ripening","Ribes rubrum","no specification"
0,229,11,1321,1985.30052990159,"Leaf unfolding (first visible leaf stalk)","Ribes rubrum","no specification"
0,102,11,1,2000,"Leaf unfolding (first visible leaf stalk)","Alnus","no specification"
0,229,87,131609,1979.11091186773,"Fruits ripe for picking","Ribes rubrum","no specification"
0,229,94,9,1968.44444444444,"Autumnal coloring of leaves (50%)","Ribes rubrum","no specification"
0,114,60,144239,1979.22601376881,"Beginning of flowering ","Tussilago farfara","no specification"
