plant_id,sci_name,cult_id,cult_name,N,common_name,lifeform_bylizzie,notes
115,Acer,30,Acer platanoides,101550,Norway maple,tree,
115,Acer,31,Acer pseudoplatanus,13149,sycamore maple,tree,
102,Alnus,40,Alnus glutinosa,176253,common alder,tree,
102,Alnus,41,Alnus incana,722,speckled alder,tree/shrub,
106,Betula,20,Betula pendula (B. verrucosa| B. alba),342363,silver birch,tree,
106,Betula,21,Betula pubescens,5283,downy birch,tree,
661,Cornus,543,Cornus mas,10331,cornelian cherry,tree/shrub,
108,Fagus,10,Fagus sylvatica,372909,European beech,tree,
101,Aesculus hippocastanum,0,no specification,675873,horse chestnut,tree,cultivated?
660,Calluna vulgaris,0,no specification,99210,heather,shrub,
157,Castanea sativa,0,no specification,627,sweet chestnut,tree,cultivated?
661,Cornus,0,no specification,20162,dogwood,shrub,genus only
107,Corylus avellana,0,no specification,153535,common hazel,shrub,cultivated?
109,Forsythia suspensa,0,no specification,107744,Forsynthia,shrub,cultivated? Native to Asia
120,Fraxinus excelsior,0,no specification,171889,European ash,tree,
122,Larix decidua,0,no specification,157990,European larch,tree,
780,Laurus nobilis,0,no specification,254,Bay laurel,tree/shrub,
781,Olea europea,0,no specification,1063,olive tree,tree,cultivated?
133,Philadelphus coronarius,0,no specification,47289,English dogwood,shrub,cultivated?
110,Picea abies (P.excelsa),0,no specification,160245,Norway spruce,tree,special type
205,Prunus armeniaca,0,no specification,1418,Armenian plum,tree,cultivated?
222,Prunus avium,0,no specification,22476,wild cherry,tree,cultivated?
223,Prunus cerasus,0,no specification,440807,sour cherry,tree,cultivated?
135,Prunus padus,0,no specification,37674,bird cherry,tree/shrub,
202,Prunus persica,0,no specification,46955,peach,tree,cultivated? Native to Asia
123,Prunus spinosa,0,no specification,124962,blackthorn,shrub,
227,Pyrus communis,0,no specification,10375,common pear,tree,cultivated?
111,Quercus robur (Q.peduncula),0,no specification,401554,English oak,tree,
272,Ribes alpinum,0,no specification,60,mountain currant,shrub,
200,Ribes grossularia,0,no specification,379955,gooseberry,shrub,
229,Ribes rubrum,0,no specification,256122,redcurrant,shrub,
124,Robinia pseudoacacia,0,no specification,153100,black locust,tree,
201,Rubus idaeus,0,no specification,117567,raspberry,shrub,
126,Sorbus aucuparia,0,no specification,333591,rowan,tree,
131,Symphoricarpos rivularis,0,no specification,49330,common snowberry,shrub,
127,Syringa vulgaris,0,no specification,172296,lilac,shrub,
140,Pinus,82,Pinus sylvestris,174641,Scots pine,tree,
669,Populus,60,Populus tremula,2647,quaking aspen,tree,
125,Salix,50,Salix caprea,147467,pussy willow,shrub,
125,Salix,53,Salix smithiana,116,silky-leaf osier,shrub,domesticated?
125,Salix,52,Salix viminalis,56,common osier,shrub,
112,Sambucus,90,Sambucus nigra,318993,elder,tree/shrub,species complex
112,Sambucus,91,Sambucus racemosa,701,red elderberry,shrub,
129,Tilia,70,Tilia cordata,128161,littleleaf linden,tree,
129,Tilia,71,Tilia platyphyllos,212503,largeleaf linden,tree,
666,Vaccinium,520,Vaccinium myrtillus,12564,blueberry,shrub,cultivated?
