PEP_ID,BBCH,YEAR,DAY
7097,11,1971,79
7060,11,1971,104
7095,11,1971,104
7103,11,1971,104
7114,11,1971,104
7049,11,1971,105
7062,11,1971,105
7139,11,1971,105
7114,60,1971,105
7064,11,1971,106
7060,60,1971,106
7103,60,1971,106
7102,11,1971,107
7109,11,1971,107
7063,11,1971,109
7113,11,1971,109
7063,60,1971,109
7055,11,1971,110
7099,11,1971,110
7113,60,1971,110
7053,11,1971,111
7102,60,1971,111
7072,11,1971,112
7077,11,1971,112
7101,11,1971,112
7057,11,1971,113
7058,11,1971,113
7059,11,1971,115
7041,11,1971,120
7116,60,1971,120
7116,11,1971,122
7037,11,1971,126
7110,11,1971,126
7045,11,1971,127
7138,11,1971,127
7039,11,1971,128
7068,11,1971,128
7096,11,1971,128
7041,60,1971,128
7036,11,1971,130
7044,11,1971,136
7043,11,1971,153
7043,94,1971,256
7103,94,1971,268
7102,94,1971,269
7072,94,1971,273
7101,94,1971,274
7057,94,1971,276
7060,94,1971,278
7062,94,1971,278
7096,94,1971,278
7113,94,1971,280
7114,94,1971,282
7044,94,1971,283
7057,97,1971,283
7060,97,1971,285
7063,94,1971,286
7110,94,1971,287
7062,97,1971,287
7099,94,1971,288
7072,97,1971,288
7102,97,1971,288
7103,97,1971,288
7058,94,1971,289
7059,94,1971,290
7139,94,1971,291
7110,97,1971,291
7113,97,1971,292
7077,94,1971,293
7116,94,1971,293
7036,97,1971,293
7096,97,1971,295
7138,94,1971,296
7049,94,1971,298
7058,97,1971,298
7099,97,1971,298
7053,94,1971,300
7109,94,1971,300
7114,97,1971,300
7101,97,1971,301
7116,97,1971,301
7138,97,1971,301
7064,94,1971,303
7139,97,1971,305
7059,97,1971,306
7053,97,1971,312
7063,97,1971,312
7049,97,1971,315
7077,97,1971,316
7044,97,1971,319
7064,97,1971,319
7109,97,1971,319
7110,11,1972,86
7060,11,1972,93
7062,11,1972,94
7102,11,1972,94
7060,60,1972,94
7097,11,1972,95
7103,11,1972,95
7102,60,1972,96
7049,11,1972,97
7053,11,1972,97
7103,60,1972,97
7077,11,1972,98
7095,11,1972,98
7114,60,1972,98
7055,11,1972,99
7114,11,1972,99
7116,60,1972,99
7064,11,1972,100
7063,11,1972,101
7099,11,1972,101
7113,11,1972,101
7113,60,1972,101
7116,11,1972,104
7041,11,1972,105
7109,11,1972,105
7058,11,1972,106
7072,11,1972,114
7059,11,1972,117
7063,60,1972,120
7101,11,1972,121
7045,11,1972,123
7054,11,1972,123
7096,11,1972,123
7072,60,1972,123
7037,11,1972,124
7138,11,1972,124
7039,11,1972,126
7036,11,1972,127
7071,11,1972,129
7138,60,1972,136
7044,11,1972,137
7068,11,1972,144
7043,11,1972,153
7060,94,1972,269
7110,94,1972,272
7113,94,1972,272
7099,94,1972,275
7060,97,1972,277
7114,94,1972,278
7053,94,1972,279
7059,94,1972,281
7096,94,1972,281
7103,94,1972,281
7116,94,1972,281
7062,94,1972,282
7036,94,1972,283
7072,94,1972,283
7102,94,1972,283
7044,94,1972,284
7058,94,1972,284
7039,94,1972,285
7099,97,1972,285
7102,97,1972,285
7063,94,1972,286
7064,94,1972,286
7110,97,1972,287
7113,97,1972,288
7116,97,1972,288
7062,97,1972,289
7114,97,1972,289
7072,97,1972,291
7043,94,1972,292
7049,94,1972,293
7109,94,1972,293
7096,97,1972,293
7103,97,1972,295
7043,97,1972,296
7101,97,1972,296
7036,97,1972,297
7053,97,1972,297
7059,97,1972,298
7058,97,1972,300
7039,97,1972,301
7138,94,1972,302
7064,97,1972,303
7063,97,1972,304
7049,97,1972,307
7109,97,1972,307
7044,97,1972,319
7138,97,1972,319
7097,11,1973,84
7117,11,1973,94
7095,11,1973,100
7102,11,1973,101
7114,60,1973,101
7102,60,1973,102
7060,60,1973,104
7103,11,1973,105
7114,11,1973,106
7103,60,1973,107
7060,11,1973,108
7110,11,1973,108
7125,11,1973,110
7116,60,1973,110
7045,11,1973,114
7053,11,1973,114
7109,11,1973,114
7138,11,1973,114
7062,11,1973,115
7049,11,1973,117
7055,11,1973,118
7063,11,1973,120
7113,11,1973,120
7113,60,1973,120
7041,11,1973,121
7064,11,1973,121
7072,11,1973,121
7139,11,1973,121
7063,60,1973,121
7046,11,1973,122
7058,11,1973,122
7071,11,1973,122
7077,11,1973,122
7096,11,1973,122
7099,11,1973,122
7048,11,1973,123
7059,11,1973,124
7070,11,1973,125
7116,11,1973,125
7037,11,1973,126
7039,11,1973,127
7138,60,1973,129
7036,11,1973,130
7071,60,1973,130
7054,11,1973,131
7044,11,1973,136
7041,60,1973,140
7068,11,1973,145
7043,11,1973,152
7062,94,1973,258
7125,94,1973,263
7096,94,1973,267
7043,94,1973,268
7138,94,1973,268
7062,97,1973,270
7070,94,1973,275
7114,94,1973,275
7110,94,1973,282
7057,94,1973,283
7101,94,1973,283
7139,94,1973,283
7072,94,1973,284
7114,97,1973,285
7113,94,1973,287
7077,94,1973,288
7103,94,1973,288
7116,94,1973,288
7110,97,1973,288
7109,94,1973,289
7044,94,1973,292
7058,94,1973,292
7099,94,1973,292
7070,97,1973,292
7053,94,1973,293
7102,94,1973,293
7101,97,1973,293
7060,94,1973,294
7059,94,1973,296
7109,97,1973,297
7036,94,1973,298
7055,94,1973,298
7036,97,1973,298
7046,94,1973,299
7064,94,1973,299
7116,97,1973,299
7139,97,1973,299
7113,97,1973,300
7077,97,1973,301
7102,97,1973,301
7103,97,1973,301
7096,97,1973,302
7057,97,1973,303
7058,97,1973,303
7053,97,1973,304
7049,94,1973,305
7072,97,1973,305
7063,94,1973,306
7055,97,1973,306
7039,94,1973,307
7099,97,1973,309
7039,97,1973,310
7060,97,1973,310
7048,97,1973,312
7059,97,1973,312
7064,97,1973,314
7125,97,1973,314
7046,97,1973,316
7063,97,1973,316
7044,97,1973,319
7049,97,1973,319
7138,97,1973,327
7117,11,1974,83
7097,11,1974,86
7095,11,1974,87
7102,11,1974,87
7103,11,1974,87
7060,60,1974,88
7103,60,1974,88
7072,11,1974,90
7099,11,1974,90
7111,11,1974,90
7063,11,1974,91
7077,11,1974,91
7110,11,1974,91
7102,60,1974,91
7062,11,1974,92
7114,11,1974,92
7114,60,1974,92
7053,11,1974,93
7055,11,1974,93
7064,11,1974,93
7113,11,1974,93
7139,11,1974,93
7060,11,1974,94
7109,11,1974,94
7063,60,1974,94
7049,11,1974,95
7113,60,1974,95
7059,11,1974,96
7055,60,1974,97
7072,60,1974,97
7058,11,1974,98
7099,60,1974,99
7054,11,1974,100
7057,11,1974,101
7046,11,1974,102
7071,11,1974,105
7058,60,1974,107
7037,11,1974,112
7045,11,1974,112
7116,60,1974,113
7075,11,1974,115
7041,60,1974,115
7048,11,1974,117
7096,11,1974,121
7116,11,1974,122
7138,11,1974,123
7071,60,1974,123
7036,11,1974,127
7068,11,1974,129
7070,11,1974,129
7138,60,1974,132
7074,11,1974,138
7044,11,1974,141
7138,94,1974,257
7071,94,1974,266
7060,94,1974,271
7114,94,1974,275
7072,94,1974,276
7103,94,1974,278
7046,94,1974,280
7071,97,1974,280
7058,94,1974,282
7102,94,1974,283
7110,94,1974,284
7072,97,1974,284
7070,94,1974,285
7096,94,1974,285
7114,97,1974,285
7049,94,1974,287
7099,94,1974,287
7103,97,1974,288
7044,94,1974,290
7053,94,1974,290
7113,94,1974,290
7139,94,1974,290
7057,94,1974,291
7077,94,1974,291
7109,94,1974,291
7116,94,1974,291
7036,94,1974,292
7111,94,1974,292
7036,97,1974,292
7060,97,1974,293
7075,97,1974,293
7109,97,1974,293
7054,94,1974,294
7102,97,1974,295
7064,94,1974,296
7062,94,1974,297
7058,97,1974,298
7113,97,1974,298
7053,97,1974,299
7116,97,1974,299
7063,94,1974,301
7110,97,1974,302
7057,97,1974,303
7096,97,1974,303
7101,97,1974,303
7049,97,1974,308
7070,97,1974,308
7077,97,1974,308
7046,97,1974,309
7111,97,1974,309
7064,97,1974,310
7054,97,1974,314
7044,97,1974,315
7063,97,1974,315
7099,97,1974,316
7062,97,1974,318
7048,97,1974,319
7138,97,1974,324
7097,11,1975,65
7118,11,1975,81
7117,11,1975,84
7112,11,1975,91
7095,11,1975,92
7119,11,1975,92
7112,60,1975,96
7111,11,1975,98
7120,11,1975,102
7102,11,1975,104
7111,60,1975,104
7115,11,1975,105
7114,60,1975,105
7103,11,1975,106
7114,11,1975,106
7103,60,1975,108
7049,11,1975,110
7053,11,1975,110
7064,11,1975,110
7102,60,1975,110
7060,11,1975,111
7062,11,1975,111
7113,11,1975,112
7139,11,1975,112
7055,11,1975,113
7063,11,1975,113
7099,11,1975,114
7109,11,1975,114
7072,11,1975,115
7116,60,1975,115
7113,60,1975,116
7110,11,1975,117
7116,11,1975,118
7063,60,1975,118
7099,60,1975,118
7054,11,1975,119
7059,11,1975,119
7039,11,1975,120
7071,11,1975,121
7101,11,1975,121
7072,60,1975,122
7045,11,1975,123
